"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,157.677,-35.7069,212.466,0,0,0,0.00097706,0.0015995,0.00379581,0.0108918,155.109,-34.9935,153.355,0,0,0,0.000872153,0.00140934,0.00347044,0.00884438,153.818,-31.3077,95.213,0,0,0,0.000871874,0.00141558,0.0035836,0.00781619,154.618,-32.9462,36.8884,0,0,0,0.000943942,0.00166754,0.00413665,0.00829235,6.67406,-13.6416,0.0111288,0,0,0,0.00247584,0.00189713,0.00436757,0.00889275
1,157.677,-35.7069,212.466,-0.123322,0.0644924,0.0929339,0.000518197,0.000753384,0.00174653,0.00354215,155.109,-34.9935,153.355,-0.0838211,0.0478034,0.0853081,0.000455312,0.00066082,0.00161846,0.00290743,153.818,-31.3077,95.213,-0.0546915,0.0419773,0.0805593,0.000329162,0.00048427,0.00122972,0.00188861,154.618,-32.9462,36.8884,-0.0241442,0.0284123,0.094531,0.0003161,0.000504212,0.00125227,0.00176255,6.67406,-13.6416,0.0111288,0.00143307,0.00105803,0.00309093,0.000933593,0.00100573,0.00236991,0.00328462
2,157.677,-35.7069,212.466,0.122357,0.0153467,-0.0978365,0.000497653,0.000726139,0.00168319,0.00341979,155.109,-34.9935,153.355,0.0960498,0.00556864,-0.10025,0.000462389,0.000665819,0.00163091,0.00293358,153.818,-31.3077,95.213,0.0525183,0.00996428,-0.107854,0.000376026,0.000551349,0.00139908,0.0021499,154.618,-32.9462,36.8884,0.00869367,-0.00311325,-0.0829413,0.000358181,0.000566132,0.00140399,0.00198378,6.67406,-13.6416,0.0111288,8.25993e-07,-0.000174186,0.00128045,0.000918388,0.000998682,0.00235405,0.00326674
3,157.677,-35.7069,212.466,-0.238783,0.0608431,0.150413,0.000485992,0.000711476,0.00165106,0.00335261,155.109,-34.9935,153.355,-0.156926,0.0482862,0.147632,0.000471121,0.000679618,0.00166473,0.00299216,153.818,-31.3077,95.213,-0.107411,0.0524337,0.128421,0.000365374,0.000536655,0.00136174,0.0020923,154.618,-32.9462,36.8884,-0.0542293,0.0320506,0.166729,0.000344813,0.000548107,0.00136236,0.00191818,6.67406,-13.6416,0.0111288,0.00135681,-0.00168464,-0.0018696,0.000934994,0.00101007,0.00238021,0.00329712
4,157.677,-35.7069,212.466,-0.0674058,0.00529946,0.00987271,0.000510792,0.000743922,0.00172481,0.00351104,155.109,-34.9935,153.355,-0.0278128,0.00265438,0.015006,0.000466153,0.000672594,0.00164647,0.00295909,153.818,-31.3077,95.213,-0.0322116,0.0210359,-0.00789544,0.000327444,0.000480611,0.0012195,0.0018773,154.618,-32.9462,36.8884,-0.0320011,0.00428781,0.0412849,0.00031623,0.00050419,0.00125138,0.00176396,6.67406,-13.6416,0.0111288,-2.80583e-05,-0.00063696,-0.0017201,0.000958018,0.00101826,0.00239879,0.00332427
5,157.677,-35.7069,212.466,-0.127285,0.130241,0.0626724,0.000529684,0.00077166,0.00179002,0.00363965,155.109,-34.9935,153.355,-0.0609863,0.0954574,0.0647301,0.000445624,0.000644488,0.00157785,0.00283718,153.818,-31.3077,95.213,-0.0564773,0.0921108,0.0342723,0.000329437,0.000485342,0.00123141,0.00189124,154.618,-32.9462,36.8884,-0.0421322,0.0434244,0.0945429,0.000311048,0.000499606,0.00124011,0.00174195,6.67406,-13.6416,0.0111288,0.00191312,0.000841403,0.00564622,0.000957844,0.00102682,0.00241805,0.00335044
6,157.677,-35.7069,212.466,-0.190993,-0.0530295,0.0672689,0.000516525,0.000751328,0.00174046,0.00354507,155.109,-34.9935,153.355,-0.0982971,-0.0407438,0.0770341,0.00043113,0.000624039,0.00152889,0.002745,153.818,-31.3077,95.213,-0.0845852,0.00310455,0.0402768,0.000330953,0.000491888,0.00124795,0.00191046,154.618,-32.9462,36.8884,-0.0585489,-0.00635686,0.109566,0.000299884,0.000481431,0.00119563,0.00168369,6.67406,-13.6416,0.0111288,0.00121517,0.00232142,0.00150767,0.000943461,0.00100418,0.00236427,0.00328506
7,157.677,-35.7069,212.466,-0.272105,0.0129551,0.116185,0.000509294,0.000749971,0.00173895,0.00352531,155.109,-34.9935,153.355,-0.146371,0.00838819,0.124551,0.00044645,0.000647274,0.00158532,0.00284627,153.818,-31.3077,95.213,-0.118286,0.0440057,0.0837377,0.000328465,0.00048775,0.0012366,0.00189386,154.618,-32.9462,36.8884,-0.0724385,0.0176689,0.161954,0.000305615,0.000490916,0.0012194,0.00171347,6.67406,-13.6416,0.0111288,0.00198719,0.00234476,0.00239464,0.00089817,0.000985324,0.00232329,0.00321276
8,157.677,-35.7069,212.466,-0.041778,0.0635612,-0.056772,0.000506484,0.000740915,0.00172063,0.00348694,155.109,-34.9935,153.355,0.0300387,0.0423178,-0.0402913,0.000441291,0.000642411,0.00157181,0.00282742,153.818,-31.3077,95.213,-0.0133831,0.0617789,-0.0891507,0.000331429,0.000490427,0.0012438,0.00190959,154.618,-32.9462,36.8884,-0.0351557,0.0120167,-0.00472042,0.00030428,0.000488819,0.00121466,0.00170839,6.67406,-13.6416,0.0111288,0.000927524,0.000611652,0.00253737,0.000923619,0.000992888,0.00233992,0.00324609
9,157.677,-35.7069,212.466,-0.246835,-0.000484538,0.0655376,0.000498565,0.000724996,0.00168292,0.00341767,155.109,-34.9935,153.355,-0.107417,2.51116e-05,0.0852864,0.000442344,0.000641705,0.00157018,0.00282632,153.818,-31.3077,95.213,-0.101788,0.0469047,0.0332779,0.000337777,0.000497028,0.00125949,0.00193763,154.618,-32.9462,36.8884,-0.0689251,0.0137554,0.119951,0.00030726,0.000490042,0.00121644,0.00171651,6.67406,-13.6416,0.0111288,0.00177241,0.00308664,0.00386078,0.000931441,0.000995957,0.0023459,0.00325065
10,157.677,-35.7069,212.466,-0.0995903,0.0346842,-0.0486861,0.000493496,0.000716371,0.00166228,0.00337285,155.109,-34.9935,153.355,0.00777419,0.020907,-0.0238869,0.000469962,0.000679159,0.00166325,0.00298985,153.818,-31.3077,95.213,-0.0336677,0.0618575,-0.0781931,0.000348879,0.000510823,0.00129437,0.00199324,154.618,-32.9462,36.8884,-0.0446473,0.00996555,0.0102369,0.000313149,0.000501325,0.00124512,0.00175315,6.67406,-13.6416,0.0111288,0.000897386,0.00305206,0.00431307,0.000936393,0.00100347,0.00236198,0.00327365
11,157.677,-35.7069,212.466,-0.391618,0.0995299,0.145432,0.000518148,0.000749014,0.00173928,0.00352008,155.109,-34.9935,153.355,-0.191717,0.0746877,0.172334,0.000450717,0.000652312,0.00159831,0.00286958,153.818,-31.3077,95.213,-0.159222,0.10936,0.10967,0.000338128,0.000498103,0.0012614,0.00194046,154.618,-32.9462,36.8884,-0.0899718,0.0463079,0.208493,0.000312727,0.000499949,0.00124037,0.00174805,6.67406,-13.6416,0.0111288,0.00224229,-0.000859181,-0.000432892,0.000922905,0.000982484,0.00231285,0.00321224
12,157.677,-35.7069,212.466,-0.101457,0.0281652,-0.0747348,0.000504525,0.000737311,0.00171189,0.00346841,155.109,-34.9935,153.355,0.0253688,0.0138013,-0.0429624,0.000458786,0.000665287,0.00162997,0.00292629,153.818,-31.3077,95.213,-0.0271524,0.0639561,-0.107114,0.000347804,0.000509042,0.00128983,0.0019882,154.618,-32.9462,36.8884,-0.0415129,0.00725106,-0.00855955,0.000312599,0.000500587,0.00124419,0.00174988,6.67406,-13.6416,0.0111288,0.000802655,-0.000247224,0.000493017,0.000924023,0.000976486,0.00230009,0.00319546
