"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
10,156.361,-26.582,165.449,-0.078947,0.107124,-0.0212858,0.000505461,0.00073852,0.00169284,0.00314854,156.009,-29.061,85.3469,-0.0216517,0.0517723,0.0609357,0.000399884,0.00060987,0.00144013,0.00235389,156.945,-28.0971,5.83591,-0.0375368,0.013579,-0.05184,0.000333279,0.000559545,0.00128385,0.00192467,154.629,-29.5001,-72.2965,0.0619912,-0.00997693,0.0742339,0.000515086,0.000957645,0.00212137,0.00281956,7.06861,-15.6345,-0.00315229,0.000368844,-0.00104223,0.000325686,0.000923393,0.00092513,0.00212466,0.00309311
11,156.361,-26.582,165.449,-0.0151653,0.0392693,-0.102667,0.000496476,0.000724893,0.00166217,0.00309709,156.009,-29.061,85.3469,0.00341193,0.00361716,-0.0258635,0.000405237,0.000619023,0.00146201,0.00238389,156.945,-28.0971,5.83591,-0.0350527,-0.0161372,-0.145909,0.000358232,0.000597576,0.00137115,0.00205347,154.629,-29.5001,-72.2965,0.0282091,-0.0098585,-0.00744,0.000502549,0.000932667,0.00206679,0.00274681,7.06861,-15.6345,-0.00315229,-4.58947e-05,-0.0044109,-0.00488847,0.000893729,0.000916175,0.00210437,0.00305845
12,156.361,-26.582,165.449,-0.0862707,0.0264346,-0.0530254,0.000501822,0.000735551,0.00168563,0.00313401,156.009,-29.061,85.3469,-0.0409511,-0.00353926,0.0166634,0.000449505,0.000680702,0.00160716,0.00263958,156.945,-28.0971,5.83591,-0.0306752,-0.00468324,-0.101962,0.000398054,0.000663706,0.00152333,0.00229237,154.629,-29.5001,-72.2965,0.0581953,0.0143447,0.0393762,0.000491243,0.000913809,0.00202311,0.00269158,7.06861,-15.6345,-0.00315229,7.04232e-05,-0.00147934,-0.00267689,0.00091672,0.00091525,0.00210119,0.00306415
13,156.361,-26.582,165.449,-0.0776676,0.0487766,-0.0709173,0.000529408,0.000776772,0.0017796,0.00330342,156.009,-29.061,85.3469,-0.0449669,0.0071101,-0.00507741,0.000429141,0.000651138,0.00153709,0.00251919,156.945,-28.0971,5.83591,-0.0239959,-0.00375429,-0.1277,0.000367061,0.000611655,0.00140299,0.00211404,154.629,-29.5001,-72.2965,0.0545104,0.00789755,0.0145254,0.000497701,0.000928004,0.00205507,0.00272393,7.06861,-15.6345,-0.00315229,0.000567759,-0.00451681,-0.00450768,0.000926183,0.000915569,0.00210135,0.00306367
14,156.361,-26.582,165.449,-0.163071,0.114903,0.0174074,0.000508139,0.000744958,0.00170795,0.00317584,156.009,-29.061,85.3469,-0.0971443,0.0514946,0.0762872,0.00040397,0.000615197,0.00145149,0.00237165,156.945,-28.0971,5.83591,-0.018177,0.0281408,-0.0451415,0.000344472,0.0005757,0.00132094,0.00198848,154.629,-29.5001,-72.2965,0.0957477,0.0208065,0.089817,0.000492521,0.000916859,0.00202928,0.0026926,7.06861,-15.6345,-0.00315229,0.00126451,-1.67922e-05,0.000512062,0.000893582,0.000897942,0.00206195,0.00300522
15,156.361,-26.582,165.449,-0.0530584,0.0788004,-0.0710637,0.000491598,0.000716712,0.00164557,0.00306395,156.009,-29.061,85.3469,-0.0532933,0.0153123,-0.0282156,0.000402562,0.000614932,0.00145041,0.00236758,156.945,-28.0971,5.83591,-0.011806,-0.000892228,-0.16375,0.000359773,0.000601278,0.00138038,0.00207502,154.629,-29.5001,-72.2965,0.0443259,-0.0028058,-0.0215228,0.000501931,0.000931533,0.00206246,0.00273276,7.06861,-15.6345,-0.00315229,0.000575679,-0.00214691,-0.000735787,0.000894504,0.000905012,0.00207817,0.00302838
16,156.361,-26.582,165.449,-0.106786,0.0531598,-0.00499285,0.000496492,0.000725267,0.00166224,0.00309621,156.009,-29.061,85.3469,-0.0900883,0.00673714,0.0277192,0.000405638,0.000619716,0.0014622,0.00238682,156.945,-28.0971,5.83591,-0.00919894,0.0129844,-0.116424,0.00033952,0.000570625,0.00130891,0.00196522,154.629,-29.5001,-72.2965,0.0701883,0.028799,0.0189891,0.000492744,0.000914162,0.00202339,0.00268865,7.06861,-15.6345,-0.00315229,0.00115132,-0.000186154,-0.00116421,0.000904359,0.000919339,0.00211101,0.00307367
17,156.361,-26.582,165.449,-0.0707205,0.0644543,-0.0210301,0.000515634,0.000753029,0.00172645,0.00321483,156.009,-29.061,85.3469,-0.0797772,0.0118687,0.00907726,0.000396041,0.000604664,0.00142638,0.00232815,156.945,-28.0971,5.83591,-0.00707161,0.00947206,-0.153236,0.000327601,0.000550958,0.00126218,0.00189002,154.629,-29.5001,-72.2965,0.0538996,0.0185425,-0.0208028,0.00049754,0.000928743,0.00205665,0.00270908,7.06861,-15.6345,-0.00315229,0.000930213,-0.00449006,-0.00503463,0.000892735,0.000910959,0.00209362,0.00304297
18,156.361,-26.582,165.449,-0.0918941,0.127917,0.0308674,0.000506169,0.000738262,0.00169278,0.00315551,156.009,-29.061,85.3469,-0.0964795,0.0484832,0.0539829,0.000394507,0.000602332,0.00142066,0.00232183,156.945,-28.0971,5.83591,-0.00506925,0.0219514,-0.119442,0.000323062,0.00054373,0.00124505,0.0018674,154.629,-29.5001,-72.2965,0.0637753,0.00538785,0.0117759,0.000495995,0.000925903,0.00204893,0.00271207,7.06861,-15.6345,-0.00315229,0.00194377,0.000862208,0.00362673,0.000894734,0.000904326,0.00207694,0.00302717
19,156.361,-26.582,165.449,-0.0640511,0.137813,0.0128184,0.000502322,0.0007363,0.00168731,0.0031356,156.009,-29.061,85.3469,-0.0875092,0.0533843,0.0310066,0.000408915,0.000624042,0.00147231,0.00240437,156.945,-28.0971,5.83591,-0.00592865,0.0180198,-0.148409,0.000317293,0.000534866,0.00122527,0.00183346,154.629,-29.5001,-72.2965,0.0478678,-0.0035152,-0.0156348,0.000499336,0.000925639,0.00205146,0.00272062,7.06861,-15.6345,-0.00315229,0.000819867,-0.00338776,-0.000844748,0.000921099,0.000907423,0.00208283,0.00303273
