"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,152.598,-20.447,173.562,0,0,0,0.00099416,0.00153966,0.0035751,0.00948265,153.154,-18.0854,104.255,0,0,0,0.000810631,0.00131962,0.00311108,0.00738951,151.263,-19.2791,33.4,0,0,0,0.000932289,0.00162685,0.00375696,0.00795915,148.311,-19.0429,-35.8339,0,0,0,0.000897425,0.00164267,0.00373047,0.00684519,1.91701,-14.4965,-0.000178543,0,0,0,0.00224169,0.00167783,0.00375087,0.00779993
1,152.598,-20.447,173.562,-0.188645,-0.191983,0.140608,0.000494512,0.000740083,0.00169919,0.00316172,153.154,-18.0854,104.255,-0.107888,-0.116441,0.133462,0.000313147,0.000485609,0.00114393,0.00189391,151.263,-19.2791,33.4,-0.0365157,-0.038677,0.126229,0.00039601,0.000658922,0.00153446,0.00227884,148.311,-19.0429,-35.8339,0.0287559,0.0334495,0.143498,0.000420264,0.000753477,0.00171433,0.002202,1.91701,-14.4965,-0.000178543,-0.000977253,-0.000720428,-0.0133347,0.000931935,0.000959931,0.0021925,0.00310447
2,152.598,-20.447,173.562,0.0258508,-0.00119247,-0.0311765,0.00050571,0.000756485,0.00173745,0.00322789,153.154,-18.0854,104.255,0.0251123,0.00750887,-0.0382061,0.000315096,0.000490126,0.00115359,0.00190982,151.263,-19.2791,33.4,0.0043438,0.000295098,-0.0578532,0.000405678,0.000673012,0.00156662,0.00233713,148.311,-19.0429,-35.8339,-0.0248267,-0.00910662,-0.013525,0.000427871,0.000767245,0.00174631,0.00224374,1.91701,-14.4965,-0.000178543,-0.000745639,-0.00220245,-0.00194249,0.000934959,0.000958694,0.00218904,0.00309823
3,152.598,-20.447,173.562,0.113285,-0.11444,-0.107625,0.000506802,0.000754728,0.00173309,0.00322592,153.154,-18.0854,104.255,0.0818021,-0.0664785,-0.121082,0.000290589,0.000451207,0.00106349,0.0017618,151.263,-19.2791,33.4,0.0164021,-0.0344742,-0.145069,0.000389178,0.000646607,0.00150542,0.00224575,148.311,-19.0429,-35.8339,-0.056432,-0.00542654,-0.0738237,0.000436931,0.000783048,0.00178192,0.00229284,1.91701,-14.4965,-0.000178543,-0.00137968,0.00073329,-0.000286628,0.000956209,0.000980615,0.00223837,0.00317247
4,152.598,-20.447,173.562,0.143819,0.0652964,-0.128331,0.000495428,0.000738141,0.00169426,0.00314965,153.154,-18.0854,104.255,0.102704,0.0586881,-0.137466,0.000301232,0.000464868,0.00109642,0.00182321,151.263,-19.2791,33.4,0.0184493,0.0195646,-0.163886,0.000395364,0.000657566,0.00153022,0.00227423,148.311,-19.0429,-35.8339,-0.0717543,-0.0206144,-0.0726995,0.000439541,0.000787895,0.00179455,0.00229994,1.91701,-14.4965,-0.000178543,0.000256981,0.00128173,0.0085584,0.00093219,0.00096799,0.00221045,0.00313225
5,152.598,-20.447,173.562,0.0083897,-0.0246466,-0.0239815,0.000516671,0.000767241,0.00176223,0.0032829,153.154,-18.0854,104.255,0.0226818,0.00534243,-0.0313854,0.000325627,0.000503164,0.00118614,0.00196897,151.263,-19.2791,33.4,-0.0134416,-0.00594197,-0.0664632,0.000409811,0.000683165,0.00158964,0.00236678,148.311,-19.0429,-35.8339,-0.0566126,-0.0107208,0.0457031,0.000445693,0.000797738,0.00181587,0.00233848,1.91701,-14.4965,-0.000178543,6.10826e-05,-0.000459285,0.000743838,0.000964202,0.000993032,0.00226897,0.00321166
6,152.598,-20.447,173.562,0.0569643,-0.0558409,-0.0715982,0.00051632,0.000770746,0.0017707,0.00328729,153.154,-18.0854,104.255,0.0527347,-0.0097438,-0.075808,0.000302372,0.000465952,0.00109786,0.00182849,151.263,-19.2791,33.4,-0.00800366,-0.0153259,-0.115102,0.000393641,0.000657906,0.00152978,0.0022734,148.311,-19.0429,-35.8339,-0.0742593,-0.0119753,0.00918053,0.00042753,0.000764689,0.00173928,0.00224491,1.91701,-14.4965,-0.000178543,-0.00059163,-0.00107682,-0.000392271,0.00095778,0.000992218,0.00226531,0.00320842
7,152.598,-20.447,173.562,0.137918,-0.112208,-0.145705,0.000509592,0.00076228,0.001751,0.00325571,153.154,-18.0854,104.255,0.100862,-0.0495236,-0.153491,0.000338718,0.000521093,0.00122814,0.0020517,151.263,-19.2791,33.4,0.00393663,-0.0412435,-0.200617,0.000405147,0.00067511,0.00157042,0.0023395,148.311,-19.0429,-35.8339,-0.0973804,-0.0230017,-0.0698042,0.000419762,0.00075039,0.00170656,0.00219851,1.91701,-14.4965,-0.000178543,-0.00174592,-0.00237817,-0.00151333,0.000963245,0.000979607,0.00223566,0.0031702
8,152.598,-20.447,173.562,-0.259425,0.0275764,0.200236,0.000488496,0.000730566,0.00167795,0.00312305,153.154,-18.0854,104.255,-0.137371,0.0636395,0.20229,0.000299576,0.000462651,0.00108985,0.00181103,151.263,-19.2791,33.4,-0.0671338,0.0292407,0.135042,0.00039605,0.000659708,0.00153443,0.00228795,148.311,-19.0429,-35.8339,-0.00975592,0.0101368,0.265729,0.000424619,0.000761889,0.00173366,0.00223076,1.91701,-14.4965,-0.000178543,0.00143015,0.00203345,0.00129005,0.000972985,0.000996349,0.0022757,0.00322483
9,152.598,-20.447,173.562,0.0875999,-0.0554303,-0.103402,0.000480373,0.000718014,0.00164891,0.00306868,153.154,-18.0854,104.255,0.0700623,-0.00109111,-0.108001,0.000311235,0.000479168,0.00112917,0.00188128,151.263,-19.2791,33.4,-0.000208169,-0.0163478,-0.1812,0.000392916,0.00065434,0.00152215,0.0022688,148.311,-19.0429,-35.8339,-0.0834516,-0.014812,-0.0404857,0.000421262,0.000758548,0.00172631,0.00221624,1.91701,-14.4965,-0.000178543,-0.0012249,-0.00333122,-0.00207754,0.00095638,0.000982224,0.00224291,0.00317691
10,152.598,-20.447,173.562,-0.0513656,-0.00783475,0.0265201,0.000492958,0.000731504,0.0016815,0.00313208,153.154,-18.0854,104.255,-0.0127874,0.0407301,0.019426,0.00031601,0.000487826,0.00115033,0.00191094,151.263,-19.2791,33.4,-0.0205528,0.0120745,-0.0619466,0.000402272,0.000667766,0.00155402,0.00232347,148.311,-19.0429,-35.8339,-0.047915,-0.00102869,0.0741428,0.000432373,0.000775316,0.00176508,0.00226569,1.91701,-14.4965,-0.000178543,0.000274141,0.00166631,0.00322171,0.000967292,0.00100937,0.00230584,0.00326013
11,152.598,-20.447,173.562,0.226297,-0.0407329,-0.218195,0.000501818,0.000747959,0.00171835,0.00319193,153.154,-18.0854,104.255,0.152098,0.0174577,-0.223635,0.000319051,0.000491375,0.00115932,0.001929,151.263,-19.2791,33.4,0.0336596,-0.00854767,-0.303802,0.0003859,0.000643053,0.00149556,0.0022272,148.311,-19.0429,-35.8339,-0.105172,-0.0212131,-0.163377,0.000425958,0.000763489,0.00173692,0.00223699,1.91701,-14.4965,-0.000178543,-0.00135572,-0.003715,0.000827693,0.000947186,0.000987274,0.00225368,0.00318914
12,152.598,-20.447,173.562,0.0101608,-0.075369,-0.0341352,0.000518764,0.000771874,0.00177227,0.00329784,153.154,-18.0854,104.255,0.0222884,0.0075035,-0.036826,0.00031785,0.000488702,0.00115294,0.00192098,151.263,-19.2791,33.4,-0.00556727,-0.00364542,-0.118005,0.000375381,0.000626868,0.00145769,0.00216729,148.311,-19.0429,-35.8339,-0.0578472,-0.00203932,0.0131763,0.000434603,0.000779934,0.0017755,0.0022784,1.91701,-14.4965,-0.000178543,-0.0013886,-0.00257658,-0.00408862,0.000935038,0.00097685,0.00223163,0.00315633
13,152.598,-20.447,173.562,0.133155,-0.0956266,-0.129083,0.000508829,0.000755401,0.00173543,0.00323303,153.154,-18.0854,104.255,0.0947046,-0.00786429,-0.136121,0.000318288,0.000488637,0.00115161,0.00192182,151.263,-19.2791,33.4,0.0156629,-0.0201474,-0.207583,0.000394385,0.000657208,0.00152898,0.00227859,148.311,-19.0429,-35.8339,-0.0845919,-0.0176605,-0.0754178,0.000426096,0.000764799,0.00174014,0.00223427,1.91701,-14.4965,-0.000178543,-0.00154211,0.000699363,0.00341238,0.000931009,0.000972449,0.00222173,0.00314494
