"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,-133.11,29.1587,177.908,0,0,0,0.00126994,0.00206826,0.00465045,0.0127307,-132.964,32.7214,97.0434,0,0,0,0.000842103,0.00141522,0.00328596,0.00800153,-132.357,30.734,18.1188,0,0,0,0.000958656,0.00175684,0.00399631,0.00863428,-130.892,29.8049,-62.6978,0,0,0,0.000863828,0.00172939,0.00379383,0.00721394,9.69875,13.1597,-0.000183262,0,0,0,0.00186774,0.00142208,0.00317213,0.00679949
1,-133.11,29.1587,177.908,-0.0409634,0.143729,-0.0481179,0.000560792,0.000821235,0.00185567,0.00356632,-132.964,32.7214,97.0434,-0.0202823,0.0875809,-0.0515481,0.000360136,0.000559154,0.00129586,0.00220607,-132.357,30.734,18.1188,-0.00123424,0.0337145,-0.0556496,0.000323234,0.000538229,0.00123465,0.00186142,-130.892,29.8049,-62.6978,0.0197367,-0.0276649,-0.0461081,0.000511592,0.000931873,0.00207282,0.00276999,9.69875,13.1597,-0.000183262,0.00142053,-0.0014434,-0.00405267,0.000828792,0.000879633,0.00199868,0.00292743
2,-133.11,29.1587,177.908,-0.075362,0.0788523,-0.06931,0.000582627,0.000852109,0.00192461,0.00370655,-132.964,32.7214,97.0434,-0.0393226,0.0524715,-0.0675895,0.000422149,0.000648575,0.00150457,0.00257164,-132.357,30.734,18.1188,-0.00573932,0.027865,-0.0737132,0.000394717,0.000658778,0.00151038,0.00228595,-130.892,29.8049,-62.6978,0.0320994,0.00438212,-0.0746901,0.000516333,0.000941429,0.00209424,0.00279753,9.69875,13.1597,-0.000183262,0.00204103,0.000343875,-0.00164526,0.000821771,0.000887863,0.00201757,0.00295331
3,-133.11,29.1587,177.908,-0.143221,0.0972245,-0.12224,0.00054535,0.000795271,0.00179676,0.0034605,-132.964,32.7214,97.0434,-0.0762339,0.0654943,-0.122475,0.000406883,0.000625505,0.00145103,0.00248025,-132.357,30.734,18.1188,-0.0131646,0.0349475,-0.133506,0.000372312,0.000618032,0.00141829,0.00214975,-130.892,29.8049,-62.6978,0.056534,-0.000797984,-0.127567,0.000495949,0.000904339,0.00201068,0.00268463,9.69875,13.1597,-0.000183262,0.00282747,-0.000945669,-0.000985832,0.000847391,0.000910234,0.00207,0.00302849
4,-133.11,29.1587,177.908,0.0303279,0.023718,0.0220447,0.000543673,0.000794652,0.00179551,0.00346133,-132.964,32.7214,97.0434,0.0148468,0.0133299,0.02424,0.000352284,0.000546436,0.00126729,0.00215448,-132.357,30.734,18.1188,-0.00238559,0.00069995,0.0126762,0.000318452,0.000530489,0.00121766,0.00183774,-130.892,29.8049,-62.6978,-0.0123631,-0.0111497,0.0112869,0.000496166,0.000909131,0.00201979,0.00268691,9.69875,13.1597,-0.000183262,0.000380175,0.000898151,-0.00271113,0.000854914,0.000916001,0.00208379,0.00304512
5,-133.11,29.1587,177.908,-0.12578,0.150827,-0.112656,0.000535186,0.000785858,0.00177419,0.00341684,-132.964,32.7214,97.0434,-0.0676125,0.0994668,-0.110915,0.000356657,0.000552265,0.00128143,0.00217763,-132.357,30.734,18.1188,-0.0139323,0.0457224,-0.124589,0.000328207,0.000549823,0.001262,0.00189995,-130.892,29.8049,-62.6978,0.049224,-0.0076517,-0.125647,0.000506451,0.000930347,0.00206733,0.00275634,9.69875,13.1597,-0.000183262,0.00235238,-0.00103982,-0.00271471,0.000841291,0.000908215,0.00206562,0.00302336
6,-133.11,29.1587,177.908,0.0158917,0.0659063,0.00503538,0.000546073,0.000798261,0.00180436,0.00347088,-132.964,32.7214,97.0434,0.00684398,0.0402188,0.0127344,0.000364592,0.000564983,0.00131047,0.00222626,-132.357,30.734,18.1188,-0.00542903,0.0160248,-0.00810164,0.000330056,0.000548192,0.00125905,0.00189903,-130.892,29.8049,-62.6978,-0.00695034,-0.0076135,-0.0132716,0.000494115,0.000910188,0.00202131,0.00269488,9.69875,13.1597,-0.000183262,0.00147115,0.00164334,-0.00631413,0.00083263,0.000891485,0.00202776,0.0029665
7,-133.11,29.1587,177.908,-0.0409296,0.150456,-0.0382847,0.000585618,0.000855118,0.00193224,0.00372101,-132.964,32.7214,97.0434,-0.0236536,0.0922947,-0.0336651,0.000367143,0.000566763,0.00131483,0.0022379,-132.357,30.734,18.1188,-0.00985212,0.0327595,-0.0557894,0.000332847,0.00055333,0.00126977,0.00191892,-130.892,29.8049,-62.6978,0.0149272,-0.027469,-0.055783,0.000478016,0.000876871,0.00194897,0.00259984,9.69875,13.1597,-0.000183262,0.00203884,-0.00306972,-0.000769953,0.000835092,0.000890026,0.00202397,0.00296096
8,-133.11,29.1587,177.908,-0.0704369,0.0573259,-0.0540751,0.000557245,0.00081383,0.00183872,0.00354173,-132.964,32.7214,97.0434,-0.0417361,0.0398409,-0.0477475,0.000383835,0.000593317,0.00137613,0.00233988,-132.357,30.734,18.1188,-0.015703,0.0170123,-0.0712311,0.00033922,0.000567636,0.00130117,0.00196178,-130.892,29.8049,-62.6978,0.0237887,-0.00212418,-0.0745686,0.000490944,0.000898762,0.00199788,0.00266809,9.69875,13.1597,-0.000183262,0.00160689,0.000563636,-0.0029415,0.000822936,0.000893858,0.00203339,0.00297101
9,-133.11,29.1587,177.908,0.018515,0.121309,0.0155097,0.000526439,0.000772578,0.00174473,0.0033572,-132.964,32.7214,97.0434,0.00698322,0.0734493,0.0232286,0.000352717,0.000547866,0.00126993,0.00215969,-132.357,30.734,18.1188,-0.00702221,0.0243009,-0.00432506,0.000327985,0.000548894,0.00125848,0.00189609,-130.892,29.8049,-62.6978,-0.00850807,-0.021613,-0.0087185,0.000494139,0.000902389,0.00200695,0.0026833,9.69875,13.1597,-0.000183262,0.00140207,-0.00254609,-0.00233428,0.000844186,0.000896932,0.00203788,0.0029826
