"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,149.691,-24.0815,177.935,0,0,0,0.00125377,0.00205446,0.00462848,0.0128176,147.831,-29.9496,97.0549,0,0,0,0.000843612,0.00139593,0.003259,0.00785274,147.774,-28.417,18.007,0,0,0,0.000976222,0.00177518,0.0040442,0.00876074,148.439,-27.7934,-62.7182,0,0,0,0.000809665,0.00166175,0.00363443,0.00706358,7.03901,-13.4519,0.00303603,0,0,0,0.00190255,0.0014597,0.00326022,0.00697958
1,149.691,-24.0815,177.935,0.113735,0.0751657,-0.0808832,0.00053837,0.000787035,0.00177848,0.0034644,147.831,-29.9496,97.0549,0.0594633,0.0386938,-0.070358,0.000380575,0.000583501,0.00136063,0.00230477,147.774,-28.417,18.007,0.00957427,0.00194317,-0.0721906,0.000349324,0.000584263,0.00134603,0.0020232,148.439,-27.7934,-62.7182,-0.0441881,-0.0406667,-0.0809589,0.000469823,0.00086926,0.00192751,0.00262217,7.03901,-13.4519,0.00303603,-0.000445777,-0.000834742,0.00327323,0.000835352,0.000904071,0.00205865,0.00301241
2,149.691,-24.0815,177.935,-0.000331166,0.0683671,0.0199228,0.000529096,0.000778308,0.00175837,0.00342915,147.831,-29.9496,97.0549,-0.00166247,0.043296,0.0277921,0.000369281,0.000568026,0.0013251,0.00223433,147.774,-28.417,18.007,0.000464259,0.0164759,0.021077,0.000322767,0.000539307,0.00124169,0.00186574,148.439,-27.7934,-62.7182,-0.000647727,-0.0112767,0.0158874,0.000472338,0.000871768,0.00193212,0.00263972,7.03901,-13.4519,0.00303603,0.00112632,0.00434214,0.00860195,0.000807531,0.000869173,0.00197884,0.00289716
3,149.691,-24.0815,177.935,0.12653,0.0541448,-0.0878275,0.0005493,0.000808314,0.00182502,0.00356893,147.831,-29.9496,97.0549,0.0640555,0.0276625,-0.069888,0.000366441,0.000559048,0.00130417,0.00220613,147.774,-28.417,18.007,0.0108832,-0.00137961,-0.0779898,0.000307736,0.000518946,0.0011944,0.00178406,148.439,-27.7934,-62.7182,-0.0497627,-0.0359923,-0.0885482,0.000455312,0.000846463,0.00187534,0.00255132,7.03901,-13.4519,0.00303603,-2.33699e-05,0.00310767,0.00792886,0.000820709,0.000881515,0.00200659,0.00293931
4,149.691,-24.0815,177.935,0.0294022,0.00770039,-0.0221597,0.000540199,0.000793916,0.00179331,0.00350305,147.831,-29.9496,97.0549,0.0119331,0.0051964,-0.00312027,0.000358345,0.000550202,0.00128352,0.00217045,147.774,-28.417,18.007,0.00285307,-0.00324427,-0.0149885,0.000310036,0.000521222,0.00119945,0.001794,148.439,-27.7934,-62.7182,-0.0138629,-0.0101061,-0.0178487,0.000468745,0.00086265,0.00191359,0.0026147,7.03901,-13.4519,0.00303603,0.000251962,0.000958511,0.00180986,0.000830847,0.000897327,0.00204435,0.00298941
5,149.691,-24.0815,177.935,-0.00367397,0.0400698,0.00442972,0.000561263,0.000823858,0.00186015,0.00362848,147.831,-29.9496,97.0549,-0.00598057,0.022567,0.029118,0.000353373,0.000547192,0.00127638,0.00214586,147.774,-28.417,18.007,4.56994e-06,0.00314009,0.0181814,0.000314148,0.000521628,0.00120239,0.00180772,148.439,-27.7934,-62.7182,-0.00311552,-0.0217737,0.0110345,0.000485769,0.000888195,0.00197263,0.00268991,7.03901,-13.4519,0.00303603,0.000587557,0.00331585,0.00633831,0.000847997,0.000891374,0.00202927,0.00296753
6,149.691,-24.0815,177.935,0.161798,0.0565564,-0.130103,0.000560036,0.000829529,0.00187182,0.00364749,147.831,-29.9496,97.0549,0.0841007,0.0227524,-0.101805,0.000359197,0.000555052,0.00129418,0.00218376,147.774,-28.417,18.007,0.0154521,-0.0134324,-0.116432,0.000303749,0.000504585,0.00116259,0.00175089,148.439,-27.7934,-62.7182,-0.0642704,-0.0473952,-0.114696,0.000477497,0.000881774,0.00195472,0.00266989,7.03901,-13.4519,0.00303603,7.2942e-05,0.000534904,0.00662343,0.000838831,0.000886075,0.00201652,0.00294973
7,149.691,-24.0815,177.935,-0.121444,0.00878939,0.0787677,0.000568658,0.000827357,0.00187076,0.00365036,147.831,-29.9496,97.0549,-0.0679675,0.00986356,0.111112,0.000360054,0.000553666,0.00129123,0.00218216,147.774,-28.417,18.007,-0.0100064,0.00250134,0.0950822,0.000300513,0.000499837,0.00115209,0.00172435,148.439,-27.7934,-62.7182,0.0390975,-0.00520845,0.0982636,0.000474821,0.000870417,0.00193124,0.0026346,7.03901,-13.4519,0.00303603,0.000620955,-0.000288381,-0.0018521,0.000812543,0.000883354,0.0020107,0.00293958
8,149.691,-24.0815,177.935,0.127364,0.094695,-0.102914,0.000556971,0.00081317,0.00183701,0.00359867,147.831,-29.9496,97.0549,0.0685718,0.0499393,-0.0705254,0.00034997,0.000537485,0.00125411,0.00211814,147.774,-28.417,18.007,0.0132347,-0.00197971,-0.0911865,0.00030288,0.000506065,0.00116532,0.00174595,148.439,-27.7934,-62.7182,-0.05049,-0.0487787,-0.0834147,0.000471276,0.000864849,0.00191877,0.00261982,7.03901,-13.4519,0.00303603,0.000447712,0.00178812,0.00876293,0.000797647,0.000863769,0.00196661,0.00287482
9,149.691,-24.0815,177.935,0.0660374,0.0478005,-0.0614306,0.00054367,0.000797828,0.00180152,0.0035224,147.831,-29.9496,97.0549,0.0357965,0.0252066,-0.0310806,0.000365543,0.000560126,0.00130638,0.00221152,147.774,-28.417,18.007,0.00792135,-0.00572307,-0.0505201,0.000314417,0.000523812,0.00120606,0.0018187,148.439,-27.7934,-62.7182,-0.0274818,-0.0352315,-0.0413341,0.000464831,0.00086367,0.00191457,0.00261094,7.03901,-13.4519,0.00303603,5.75921e-05,0.00034352,0.00320192,0.00082916,0.000874578,0.00199113,0.00291539
