"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;-1.25056e-012;-0.00653207
0;0.0300293;-1.25056e-012;-0.00649345
0;0.140015;-1.25056e-012;-0.00647819
0;0.240051;-1.25056e-012;-0.00691002
0;0.350037;-1.25056e-012;-0.00684833
-2.20455e-006;0.460022;0.000327442;-0.00661695
-1.1003e-005;0.570007;0.00167832;-0.00640929
-2.21894e-005;0.670044;0.00339684;-0.00660932
-3.83142e-005;0.780029;0.00577149;-0.00697148
-5.85388e-005;0.890015;0.0087584;-0.00657069
-6.69934e-005;0.929993;0.0100287;-0.00674059
-8.01222e-005;0.990051;0.0119933;-0.00662496
-0.000108272;1.10004;0.0162104;-0.00672509
-0.000133657;1.19;0.0200556;-0.00647839
-0.000139137;1.21002;0.0208758;-0.00688561
-0.000176434;1.32001;0.0264033;-0.00660925
-0.00020149;1.39001;0.0301684;-0.00670068
-0.000212274;1.42004;0.0318049;-0.00647824
-0.000254976;1.53003;0.0383967;-0.006478
-0.000266598;1.56;0.0401972;-0.00643171
-0.000301156;1.64001;0.0455187;-0.00655616
-0.000333575;1.71002;0.0504321;-0.00664014
-0.000347846;1.74005;0.0525988;-0.00653226
-0.000400568;1.85004;0.060747;-0.00640876
-0.000455833;1.96002;0.0693034;-0.00650901
-0.000467266;1.98004;0.0710619;-0.00649328
-0.000519447;2.07001;0.0790041;-0.00664706
-0.000538143;2.10004;0.0818232;-0.00661702
-0.000580179;2.17004;0.0882967;-0.00636993
-0.000605173;2.21002;0.0921458;-0.00661705
-0.000649931;2.28003;0.0989817;-0.00647794
-0.000675392;2.32001;0.102991;-0.00622331
-0.000721089;2.39001;0.110235;-0.00639299
-0.000741206;2.42004;0.113348;-0.00653223
-0.00078878;2.49005;0.120718;-0.00637803
-0.000808454;2.52002;0.123823;-0.00629339
-0.000865592;2.60004;0.133077;-0.00605486
-0.000872953;2.61005;0.134268;-0.00631425
-0.000941682;2.70001;0.145033;-0.00645468
-0.000950082;2.71002;0.146345;-0.00634692
-0.00101376;2.79004;0.15621;-0.00656296
-0.00103846;2.82001;0.160055;-0.00628639
