"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53605e-009;0;-0.00108086
0;0.039978;0;-0.000980969
0;0.140015;0;-0.00103449
0;0.25;0;-0.000942196
-3.98954e-008;0.359985;4.08419e-005;-0.00101146
-7.44964e-007;0.460022;0.000695633;-0.00114211
-2.31795e-006;0.570007;0.00225108;-0.000880446
-4.49388e-006;0.679993;0.00446074;-0.00108903
-7.20646e-006;0.789978;0.00712244;-0.000949194
-9.8436e-006;0.890015;0.0100292;-0.000865271
-1.32963e-005;1;0.0138344;-0.000949492
-1.70349e-005;1.10999;0.0182976;-0.000725813
-1.84738e-005;1.15997;0.0204643;-0.000602312
-2.02631e-005;1.21002;0.0228409;-0.000903494
-2.47162e-005;1.32001;0.0284905;-0.000672944
-2.62151e-005;1.35999;0.0306572;-0.000710614
-2.89894e-005;1.42999;0.0346703;-0.00067199
-3.33934e-005;1.52997;0.040934;-0.000734217
-3.38654e-005;1.53998;0.0415482;-0.000802882
-3.91018e-005;1.64001;0.048262;-0.000756986
-4.12224e-005;1.67999;0.0511688;-0.000702099
-4.47673e-005;1.75;0.0562424;-0.000695304
-4.86135e-005;1.82001;0.0614838;-0.000772313
-5.1009e-005;1.85999;0.0645546;-0.00078787
-5.66167e-005;1.95001;0.0719628;-0.00072606
-5.7187e-005;1.96002;0.0727829;-0.000664548
-6.37587e-005;2.07001;0.0827278;-0.000657079
-7.18695e-005;2.17999;0.0931229;-0.000903425
-8.12576e-005;2.28998;0.104174;-0.0007956
-8.80175e-005;2.39001;0.114409;-0.000525352
-9.32835e-005;2.48999;0.124976;-0.00047138
-9.38433e-005;2.5;0.126082;-0.000540522
-0.000100402;2.58002;0.135413;-0.000865248
-0.000103079;2.60999;0.13893;-0.000657347
-0.000108491;2.66998;0.146262;-0.000818756
-0.000113044;2.71002;0.151175;-0.00103476
-0.000118553;2.76001;0.157515;-0.000702914
-0.00012477;2.82001;0.165213;-0.000912306
-0.000126799;2.83997;0.167548;-0.000826475
-0.000134859;2.91998;0.177779;-0.000748989
-0.000135891;2.92999;0.179053;-0.000872013
-0.000143308;3;0.188422;-0.000711319
-0.00014815;3.03998;0.194197;-0.000965473
-0.000151634;3.07001;0.198492;-0.000656579
-0.000159929;3.14001;0.208525;-0.000996981
-0.000169293;3.21002;0.218794;-0.000826691
-0.000174976;3.25;0.22473;-0.00108836
-0.000179146;3.27997;0.229033;-0.000849698
-0.000186975;3.34998;0.239226;-0.00068656
-0.000187966;3.35999;0.240736;-0.000625764
-0.000195718;3.41998;0.250479;-0.000965441
-0.000201917;3.46002;0.257033;-0.000926341
-0.000206351;3.48999;0.261984;-0.000864806
-0.000218472;3.56;0.273528;-0.00123531
-0.000220341;3.57001;0.275168;-0.00104267
-0.000231369;3.63;0.285155;-0.00116593
-0.000239645;3.67999;0.293303;-0.000865283
-0.000242356;3.70001;0.296538;-0.000810924
-0.000251484;3.76001;0.307379;-0.000873151
-0.000256874;3.78998;0.312788;-0.00111944
-0.000262402;3.82001;0.318274;-0.000896278
-0.000271854;3.88;0.329199;-0.000833994
-0.000273307;3.89001;0.331;-0.000780112
-0.000281547;3.94;0.340086;-0.00103355
-0.000291858;4;0.350691;-0.000910884
-0.000301526;4.06;0.362227;-0.000765449
-0.000310032;4.10999;0.372099;-0.000957658
-0.000311706;4.12;0.373984;-0.000819375
-0.000321591;4.17999;0.385939;-0.000834157
-0.00032597;4.21002;0.391997;-0.000611713
-0.000329068;4.23999;0.397597;-0.000494649
-0.000335224;4.29999;0.409148;-0.000571301
-0.000338019;4.32001;0.413237;-0.000795414
-0.000343029;4.34998;0.419661;-0.000764539
-0.000351951;4.39996;0.430312;-0.000910928
-0.00035705;4.42999;0.43669;-0.000687768
-0.000359876;4.45001;0.440916;-0.000649621
-0.00036714;4.49999;0.451304;-0.000748975
-0.000371501;4.53002;0.457408;-0.000679715
-0.000373574;4.54998;0.461467;-0.000341876
-0.000379732;4.59997;0.472316;-0.00079344
