"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;9.53696e-009;0;-0.00946613
0;0.0299683;0;-0.00943517
3.90027e-007;0.130005;-4.09357e-005;-0.00962042
3.90027e-007;0.23999;-4.09357e-005;-0.00942748
-3.75181e-007;0.349976;4.09357e-005;-0.00926544
-6.0975e-006;0.450012;0.000654957;-0.00937339
-2.10124e-005;0.559998;0.00225141;-0.0093117
-4.11329e-005;0.669983;0.00446155;-0.00889572
-6.53677e-005;0.779968;0.00712135;-0.00932731
-9.2447e-005;0.880005;0.0100281;-0.00930442
-0.000127321;0.98999;0.0137952;-0.0092111
-0.000168558;1.09998;0.0182164;-0.00944272
-0.000189448;1.14996;0.0204251;-0.00947383
-0.000212496;1.20001;0.0228818;-0.0092893
-0.00026415;1.31;0.0284474;-0.00927267
-0.000284864;1.34998;0.0306981;-0.00913415
-0.000320922;1.41998;0.0346692;-0.00902614
-0.0003784;1.51996;0.0409749;-0.00920436
-0.000383283;1.52997;0.0415051;-0.00921137
-0.000446022;1.63;0.0483449;-0.00913418
-0.000472265;1.66998;0.0511677;-0.00945855
-0.000520234;1.73999;0.0562833;-0.00929588
-0.000569303;1.81;0.0615247;-0.00942773
-0.000597589;1.84998;0.0645535;-0.00925034
-0.000665236;1.94;0.0718816;-0.00921196
-0.000672822;1.95001;0.0727017;-0.00928825
-0.000765226;2.06;0.0826047;-0.00937372
-0.000864413;2.16998;0.0931256;-0.00948131
-0.00096737;2.27997;0.104097;-0.0092876
-0.00106505;2.38;0.114412;-0.00965092
-0.00116513;2.47998;0.125055;-0.00915728
-0.00117488;2.48999;0.126123;-0.00909576
-0.00125924;2.57001;0.135331;-0.00922672
-0.00129319;2.59998;0.139016;-0.00919572
-0.00136053;2.65997;0.146302;-0.0092887
-0.00140606;2.70001;0.15117;-0.00941984
-0.00146504;2.75;0.157434;-0.00941209
-0.00153815;2.81;0.16517;-0.00948934
-0.00156162;2.82996;0.167627;-0.00962047
-0.00165939;2.90997;0.177781;-0.00963561
-0.00167187;2.91998;0.179094;-0.0093743
-0.00175944;2.98999;0.188463;-0.00931946
-0.0018132;3.02997;0.194238;-0.00929664
-0.00185384;3.06;0.198533;-0.00962685
-0.0019486;3.13;0.208566;-0.00926469
-0.00204375;3.20001;0.218835;-0.0092657
-0.00209907;3.23999;0.224771;-0.00937372
-0.00213924;3.26996;0.229028;-0.00949674
-0.00223469;3.33997;0.239221;-0.00923377
-0.00224899;3.34998;0.240777;-0.00914222
-0.00233867;3.40997;0.25052;-0.00926562
-0.0024007;3.45001;0.257074;-0.0096664
-0.00244677;3.47998;0.261903;-0.00941177
-0.00255468;3.54999;0.273568;-0.00908889
-0.00256967;3.56;0.275209;-0.00918808
-0.00266211;3.62;0.285112;-0.00948109
-0.00273827;3.66998;0.293298;-0.00912644
-0.00276788;3.69;0.296533;-0.00918033
-0.00286704;3.75;0.30742;-0.00903441
-0.00291632;3.77997;0.312784;-0.00934174
-0.00296652;3.81;0.318193;-0.0092191
-0.00306661;3.87;0.329202;-0.00896459
-0.00308343;3.88;0.331041;-0.00933461
-0.00316696;3.92999;0.340173;-0.00895708
-0.00326039;3.98999;0.350732;-0.00874041
-0.00336275;4.04999;0.36223;-0.00906466
-0.00345243;4.09998;0.372102;-0.00910329
-0.00347083;4.10999;0.374101;-0.00930356
-0.00358115;4.16998;0.386018;-0.00921141
-0.00363559;4.20001;0.391916;-0.0092503
-0.0036881;4.22998;0.397607;-0.00920357
-0.00379306;4.28998;0.409059;-0.00912633
-0.00383186;4.31;0.413362;-0.0089102
-0.00388931;4.33997;0.41974;-0.00910379
-0.00398692;4.39001;0.430391;-0.00922586
-0.0040439;4.41998;0.436616;-0.00907995
-0.00408247;4.44;0.440904;-0.00891068
-0.00417778;4.48999;0.451356;-0.00932588
-0.00425138;4.52997;0.459367;-0.00904935
-0.00426971;4.53998;0.461427;-0.00874989
-0.00436816;4.58997;0.472352;-0.00927186
-0.00445323;4.63;0.481477;-0.00937343
-0.00447377;4.64001;0.48369;-0.00919605
-0.00457653;4.68999;0.494869;-0.00918809
-0.00467813;4.73998;0.505992;-0.00908003
-0.00477505;4.78997;0.516689;-0.00904164
-0.00487681;4.83996;0.528026;-0.00891021
-0.00489866;4.84997;0.530437;-0.00920967
-0.00498685;4.89001;0.540019;-0.00919667
-0.00509422;4.93999;0.551799;-0.00903324
-0.005116;4.95;0.554225;-0.00891832
-0.00519875;4.98998;0.563472;-0.00898025
-0.00529716;5.03997;0.574642;-0.00864122
-0.00533852;5.05999;0.579402;-0.00873277
-0.00540498;5.08996;0.586894;-0.00900982
-0.00549694;5.13;0.597087;-0.00903366
-0.0055897;5.16997;0.607158;-0.00938807
-0.00570185;5.21996;0.619426;-0.00889484
-0.00580629;5.27001;0.631298;-0.00870196
-0.00589736;5.30999;0.641658;-0.00887779
-0.00599315;5.34997;0.652339;-0.00905708
-0.00606288;5.38;0.660076;-0.00897125
-0.00608631;5.39001;0.6627;-0.0088797
-0.00618121;5.42998;0.673305;-0.0090184
-0.00628791;5.47997;0.685375;-0.00866292
-0.00631025;5.48998;0.687953;-0.00866318
-0.00638107;5.52001;0.696056;-0.00881764
-0.00647994;5.55999;0.707195;-0.0089334
-0.00657555;5.59997;0.718044;-0.00869307
-0.00666869;5.64001;0.728603;-0.00894842
-0.00675988;5.67998;0.738918;-0.00873336
-0.00680254;5.7;0.743953;-0.00820789
-0.00684864;5.71996;0.749523;-0.00834665
-0.00694852;5.76;0.761272;-0.00865546
-0.00704634;5.79998;0.772579;-0.00864735
-0.00707075;5.80999;0.775402;-0.00864774
-0.00714338;5.83996;0.783794;-0.00866264
-0.00723447;5.88;0.794383;-0.00853985
-0.00732843;5.91997;0.805522;-0.00833147
-0.00743082;5.96001;0.817485;-0.00878614
-0.00753053;5.99999;0.828975;-0.00857049
-0.00758161;6.02001;0.834911;-0.00863963
-0.00763207;6.03997;0.840694;-0.00881034
-0.00772454;6.08001;0.851497;-0.00830871
-0.00781889;6.11999;0.86288;-0.00826889
-0.00784509;6.13;0.865993;-0.00856262
-0.00792779;6.15996;0.87556;-0.00872522
-0.00803031;6.2;0.887523;-0.00841576
-0.00813154;6.23998;0.899303;-0.00877148
-0.0082268;6.27996;0.910488;-0.00826162
-0.0083304;6.32;0.922725;-0.00867074
-0.00841704;6.34997;0.932552;-0.00896257
-0.00844449;6.35998;0.935619;-0.00893348
-0.00855773;6.40001;0.948192;-0.00907999
-0.0086621;6.43999;0.959972;-0.00864011
-0.00868709;6.45;0.962917;-0.00833302
-0.00876046;6.47997;0.971767;-0.00824672
-0.00887234;6.52001;0.984981;-0.00868636
-0.00898508;6.55999;0.997966;-0.00867849
-0.00909787;6.59997;1.01086;-0.00881731
-0.00920047;6.64001;1.02278;-0.00840056
-0.00928033;6.66997;1.03239;-0.00821554
-0.00930955;6.67998;1.03591;-0.00836146
-0.00939534;6.71001;1.04606;-0.0085476
-0.00950889;6.74999;1.05925;-0.00867849
