"Work";"Test time";"Standard travel";"Standard force"
"Nmm";"s";"mm";"N"
0;0;0;-0.00382956
1.52496e-007;0.100037;-4.09357e-005;-0.00362094
1.52496e-007;0.210022;-4.09357e-005;-0.00351346
-1.35811e-007;0.320007;4.07692e-005;-0.00354381
-1.30691e-006;0.420044;0.000368378;-0.00360556
-6.85603e-006;0.530029;0.00184133;-0.00392915
-1.48876e-005;0.640015;0.00392797;-0.00376896
-2.3195e-005;0.740051;0.00605848;-0.00402956
-3.46894e-005;0.850037;0.00904538;-0.00366692
-3.81811e-005;0.880005;0.00998761;-0.00374481
-4.86321e-005;0.960022;0.0127304;-0.00387594
-6.47098e-005;1.07001;0.0169456;-0.00375244
-7.61983e-005;1.14001;0.0200584;-0.00362904
-8.09966e-005;1.17004;0.0213669;-0.00370533
-0.000101558;1.28003;0.0268924;-0.00373707
-0.000114185;1.34003;0.0301693;-0.00396941
-0.000124922;1.39001;0.032912;-0.00386022
-0.000148215;1.49005;0.0389278;-0.00388375
-0.000153434;1.51001;0.0402782;-0.00384525
-0.000175546;1.60004;0.0462139;-0.0036054
-0.000190897;1.66003;0.050391;-0.00374463
-0.000204218;1.71002;0.054034;-0.00356847
-0.000229312;1.80005;0.0607479;-0.00390667
-0.000235187;1.82001;0.0622623;-0.00385297
-0.000266155;1.92004;0.0702045;-0.00394529
-0.000269683;1.93005;0.0711048;-0.00389165
-0.000303624;2.03003;0.0799053;-0.00382179
-0.000310372;2.05005;0.0816639;-0.00385285
-0.0003432;2.14001;0.0902622;-0.00378307
-0.00035043;2.16003;0.0921428;-0.00390622
-0.000380106;2.24005;0.099963;-0.00368321
-0.000392003;2.27002;0.103076;-0.00396073
-0.000423654;2.35004;0.111258;-0.00377566
-0.000432264;2.37;0.113471;-0.00400692
-0.000469369;2.46002;0.122847;-0.00390756
-0.000473645;2.47003;0.123946;-0.00387609
-0.000513161;2.56;0.134223;-0.00381434
-0.000517591;2.57001;0.135413;-0.00362933
-0.00055365;2.65002;0.145034;-0.00386679
-0.000563452;2.67004;0.14749;-0.00411379
-0.000597641;2.74005;0.156165;-0.00376856
-0.000617789;2.78003;0.161322;-0.00404465
-0.000637906;2.82001;0.166358;-0.00394547
-0.000672856;2.89001;0.175322;-0.00385201
-0.000677818;2.90002;0.176596;-0.00393736
-0.000717911;2.98003;0.186992;-0.00377571
-0.000723437;2.99004;0.188427;-0.00392925
-0.00075769;3.05004;0.197101;-0.00396812
-0.000785924;3.10003;0.204181;-0.00400745
-0.000797755;3.12005;0.207134;-0.0040065
-0.000838036;3.19005;0.217365;-0.00386788
-0.000849075;3.21001;0.22031;-0.00362899
-0.000877416;3.26;0.227718;-0.00402238
-0.000905764;3.31005;0.234882;-0.00389149
-0.000921887;3.34002;0.239223;-0.00353648
-0.000962362;3.41002;0.2504;-0.00370606
-0.000968698;3.42003;0.252079;-0.00384434
-0.00100702;3.48003;0.262028;-0.00385912
-0.00103869;3.53002;0.270298;-0.00379928
-0.00105124;3.55004;0.273571;-0.0038689
-0.00109613;3.62005;0.285152;-0.00388416
-0.00110867;3.64;0.288387;-0.00386831
-0.00113881;3.69005;0.296535;-0.0035288
-0.00117272;3.74004;0.305538;-0.0040054
-0.00117981;3.75005;0.307384;-0.00367543
-0.00122103;3.81005;0.318233;-0.00392243
-0.00124903;3.85003;0.325435;-0.00385281
-0.00126305;3.87005;0.329159;-0.00368306
-0.00130507;3.93004;0.34013;-0.00397643
-0.00132616;3.96001;0.345409;-0.00401458
-0.00134693;3.99004;0.350689;-0.00385198
-0.00139203;4.05004;0.362156;-0.00401458
-0.00140054;4.06005;0.364155;-0.00450095
-0.00144087;4.11004;0.373981;-0.00370654
-0.00148642;4.17003;0.385982;-0.00388369
-0.00153333;4.23003;0.397602;-0.00419077
-0.00157033;4.28002;0.407177;-0.00353917
-0.00157756;4.29003;0.409267;-0.00337419
-0.00161338;4.34002;0.41975;-0.00345906
-0.00165227;4.39001;0.430355;-0.00387582
-0.00169116;4.44005;0.440914;-0.00349024
-0.0017298;4.49004;0.451351;-0.00391403
-0.0017677;4.54003;0.461422;-0.00361433
-0.00180692;4.59002;0.472439;-0.0035055
-0.00181453;4.60003;0.47456;-0.00366667
-0.00184982;4.64001;0.483684;-0.00406792
-0.00189149;4.69005;0.494701;-0.00349787
-0.00190867;4.71001;0.49937;-0.0038605
-0.0019342;4.74004;0.505916;-0.00393775
-0.00197482;4.79003;0.516643;-0.00363669
-0.00199017;4.81005;0.520901;-0.00357494
-0.00201508;4.84002;0.527981;-0.00346002
-0.00205733;4.89001;0.54002;-0.00356015
-0.00208145;4.92003;0.547054;-0.00329742
-0.00209764;4.94005;0.551769;-0.00356707
-0.00214124;4.99004;0.563427;-0.0039142
-0.00217498;5.03002;0.572353;-0.00364455
-0.00218319;5.04003;0.574642;-0.00352868
-0.00222741;5.09002;0.586971;-0.00364431
-0.0022638;5.13;0.597118;-0.0035294
-0.00227203;5.14001;0.599544;-0.00325092
-0.00230744;5.18004;0.609737;-0.00369808
-0.00235327;5.23003;0.621853;-0.00386744
-0.00236237;5.24004;0.624142;-0.00408393
-0.00239889;5.28002;0.633724;-0.00353747
-0.00243783;5.32;0.644451;-0.00372201
-0.00246783;5.35003;0.652309;-0.00391465
-0.00247768;5.36004;0.654918;-0.00363809
-0.00251553;5.40001;0.665356;-0.00361353
-0.00255466;5.44005;0.675762;-0.00390655
-0.00257288;5.46001;0.680584;-0.00365209
-0.00259876;5.49004;0.687877;-0.00344389
-0.00263814;5.53002;0.698894;-0.00370627
-0.00266817;5.56005;0.707073;-0.00363689
-0.00267817;5.57;0.70982;-0.00364437
-0.00271857;5.61004;0.720699;-0.0037829
-0.00275797;5.65001;0.731396;-0.00358286
-0.00277523;5.67003;0.736309;-0.00344443
-0.00280154;5.7;0.743999;-0.00339728
-0.00284076;5.74004;0.755413;-0.00347525
-0.00288072;5.78002;0.766887;-0.00349051
-0.00292227;5.82;0.778301;-0.00379044
-0.00296164;5.86004;0.789104;-0.00349778
-0.00298831;5.89001;0.797008;-0.0032503
-0.00299756;5.90001;0.799709;-0.00359744
-0.00303827;5.94005;0.811336;-0.00340479
-0.00307894;5.98003;0.823162;-0.00347441
-0.00308873;5.99004;0.826;-0.00342053
-0.0031203;6.02001;0.834957;-0.00362891
-0.00315984;6.06005;0.846126;-0.0034514
-0.00319738;6.10003;0.857067;-0.00341183
-0.00323855;6.14001;0.869228;-0.00335866
-0.00327839;6.18004;0.881466;-0.0031517
-0.00330836;6.21001;0.890514;-0.00347404
-0.00331899;6.22002;0.893535;-0.0035594
-0.00335731;6.26;0.904842;-0.00322013
-0.0033953;6.30004;0.916378;-0.00336604
-0.00340628;6.31005;0.919536;-0.00358253
-0.00344171;6.34002;0.929363;-0.00362896
-0.00348733;6.38;0.941845;-0.00368189
-0.00353216;6.42003;0.954159;-0.0035982
-0.00356932;6.46001;0.965755;-0.00281142
-0.00360748;6.50005;0.978267;-0.00328778
-0.00364166;6.53002;0.988308;-0.00352083
-0.00368402;6.57;1.0012;-0.00305043
-0.00372524;6.61004;1.01388;-0.00345098
-0.00375372;6.64001;1.02269;-0.00301896
-0.00376263;6.65001;1.02575;-0.00278817
-0.00379334;6.68004;1.03582;-0.00330983
