"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,151.84,-19.8864,173.573,0,0,0,0.00126777,0.00200827,0.00458926,0.0125129,150.744,-21.6434,93.6591,0,0,0,0.000904998,0.00145397,0.0034539,0.00814095,152.523,-19.188,13.8252,0,0,0,0.00100591,0.00182594,0.00419824,0.00899253,150.779,-23.0161,-67.1359,0,0,0,0.000811483,0.00161898,0.00355414,0.00687618,5.36908,-16.9792,0.00762725,0,0,0,0.00207834,0.00153685,0.00348269,0.00737962
1,151.84,-19.8864,173.573,0.099512,0.0506478,-0.0973801,0.000533712,0.000780575,0.00178479,0.00342404,150.744,-21.6434,93.6591,0.0556805,0.0296037,-0.0850361,0.000402198,0.000608675,0.00144381,0.00238401,152.523,-19.188,13.8252,0.00474912,0.00314275,-0.0864505,0.000323236,0.000538508,0.00124768,0.00187089,150.779,-23.0161,-67.1359,-0.03765,-0.0205223,-0.0828161,0.00049433,0.000910195,0.00202846,0.00274785,5.36908,-16.9792,0.00762725,-0.000520256,-0.00517721,-0.00528451,0.000908202,0.000919049,0.00213153,0.00307582
2,151.84,-19.8864,173.573,0.0745773,0.019326,-0.0891624,0.000543315,0.000794829,0.00181912,0.00349109,150.744,-21.6434,93.6591,0.0432542,0.0067053,-0.0751728,0.000426265,0.000644407,0.00152896,0.00252465,152.523,-19.188,13.8252,-0.00160065,-0.00502605,-0.0682469,0.000347885,0.000575819,0.00133632,0.00200342,150.779,-23.0161,-67.1359,-0.0302386,-0.0142221,-0.0635466,0.000499033,0.000916784,0.00204429,0.00276919,5.36908,-16.9792,0.00762725,-0.000822141,-0.00314804,-0.00302939,0.000892255,0.000930399,0.00216102,0.00311142
3,151.84,-19.8864,173.573,0.050534,-0.00262747,-0.0828923,0.000543886,0.000794927,0.00182006,0.00349541,150.744,-21.6434,93.6591,0.0316216,-0.00625967,-0.0627633,0.000408613,0.000619815,0.00147029,0.0024241,152.523,-19.188,13.8252,-0.00632191,-0.0118428,-0.0509033,0.000327879,0.0005462,0.00126561,0.00189446,150.779,-23.0161,-67.1359,-0.0217495,-0.0103313,-0.0431462,0.000481787,0.000888957,0.00198091,0.00267187,5.36908,-16.9792,0.00762725,-0.00110525,-0.00483293,-0.0052895,0.000882786,0.000934952,0.00217263,0.00312505
4,151.84,-19.8864,173.573,0.172255,0.0839579,-0.187872,0.000552327,0.000806068,0.00184509,0.0035488,150.744,-21.6434,93.6591,0.0986299,0.0423848,-0.16597,0.000386291,0.000584126,0.00138643,0.00229021,152.523,-19.188,13.8252,0.00059078,0.00637651,-0.145398,0.000310647,0.000519303,0.00120289,0.00180046,150.779,-23.0161,-67.1359,-0.0670511,-0.027254,-0.134298,0.000475116,0.0008732,0.00194698,0.00263683,5.36908,-16.9792,0.00762725,0.000313933,-0.00108404,0.00194583,0.000880612,0.00090317,0.00209607,0.0030229
5,151.84,-19.8864,173.573,0.0327437,-0.0400168,-0.09235,0.000557139,0.000817005,0.00186719,0.00358432,150.744,-21.6434,93.6591,0.0234087,-0.0276374,-0.067547,0.000408693,0.000616502,0.00146331,0.00241789,152.523,-19.188,13.8252,-0.0145336,-0.0140653,-0.039823,0.00031228,0.000522729,0.00120982,0.00181197,150.779,-23.0161,-67.1359,-0.0117715,0.00880698,-0.0321424,0.000460699,0.000847345,0.00188955,0.00255835,5.36908,-16.9792,0.00762725,-6.51513e-05,-0.00507924,-0.00711518,0.000865283,0.000888227,0.0020615,0.00297133
6,151.84,-19.8864,173.573,0.155559,0.0535257,-0.195749,0.000547761,0.000806197,0.00184176,0.00353419,150.744,-21.6434,93.6591,0.0886727,0.0236922,-0.170291,0.000406808,0.00061266,0.00145388,0.00239945,152.523,-19.188,13.8252,-0.00953732,-0.000563712,-0.140748,0.000321111,0.000539237,0.00124927,0.0018665,150.779,-23.0161,-67.1359,-0.0581304,-0.0143305,-0.127906,0.000465175,0.000862738,0.00192157,0.00259347,5.36908,-16.9792,0.00762725,-0.000268424,-0.000541262,0.00145708,0.000867071,0.000890069,0.00206663,0.00297563
7,151.84,-19.8864,173.573,0.0634753,0.0277666,-0.133562,0.000558416,0.000814257,0.00186284,0.00358548,150.744,-21.6434,93.6591,0.0384603,0.0126923,-0.0980714,0.000454036,0.000680785,0.00161525,0.00267754,152.523,-19.188,13.8252,-0.0204098,-0.00628887,-0.0704006,0.000360645,0.000599069,0.0013885,0.00208593,150.779,-23.0161,-67.1359,-0.0190191,-0.00726189,-0.0590148,0.000472667,0.000878646,0.00195772,0.00264118,5.36908,-16.9792,0.00762725,-0.000258833,-0.00524397,-0.00632375,0.0008731,0.000910254,0.00211471,0.00304304
8,151.84,-19.8864,173.573,0.19686,0.0694492,-0.249205,0.000557793,0.000816593,0.00186842,0.00359956,150.744,-21.6434,93.6591,0.109303,0.0341997,-0.208508,0.000443997,0.000664708,0.00157815,0.00261398,152.523,-19.188,13.8252,-0.0145381,0.000543519,-0.178331,0.000356837,0.000592414,0.00137282,0.0020676,150.779,-23.0161,-67.1359,-0.0685533,-0.0176385,-0.165809,0.000497587,0.000916901,0.0020443,0.00276943,5.36908,-16.9792,0.00762725,-0.000290639,-0.001088,0.000441172,0.000874622,0.000922882,0.0021447,0.00308644
9,151.84,-19.8864,173.573,0.0947576,0.0502124,-0.172012,0.000558884,0.000816199,0.00186741,0.00359409,150.744,-21.6434,93.6591,0.0546743,0.0212221,-0.128454,0.00040342,0.000610507,0.00144726,0.00239352,152.523,-19.188,13.8252,-0.0254642,-0.00624703,-0.0994809,0.000324825,0.000543223,0.00125924,0.00188485,150.779,-23.0161,-67.1359,-0.027524,-0.0113085,-0.0833631,0.000497765,0.000919202,0.00204689,0.00276954,5.36908,-16.9792,0.00762725,-0.00024611,-0.00390729,-0.00334043,0.000885098,0.000917759,0.0021307,0.00307085
