"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,153.271,-23.1753,173.422,0,0,0,0.00125067,0.00199907,0.00452772,0.0123382,153.093,-26.2173,93.3903,0,0,0,0.000900698,0.00147917,0.00348338,0.00828708,152.408,-25.3822,13.4939,0,0,0,0.00102514,0.00185147,0.00422921,0.00908155,153.088,-25.9164,-67.2657,0,0,0,0.000759524,0.00155861,0.00338719,0.00650365,2.65105,-15.1913,0.0014641,0,0,0,0.00205294,0.00149407,0.00337172,0.00716026
1,153.271,-23.1753,173.422,0.0648183,-0.109965,-0.0644035,0.000518877,0.00076263,0.00172755,0.00332116,153.093,-26.2173,93.3903,0.0322586,-0.0680626,-0.0634841,0.000423404,0.000643136,0.00151412,0.00252277,152.408,-25.3822,13.4939,0.00224178,-0.0315977,-0.062852,0.00033038,0.000552709,0.00126924,0.00190587,153.088,-25.9164,-67.2657,-0.0293473,0.00629212,-0.0673067,0.000472035,0.000874289,0.00193229,0.00260622,2.65105,-15.1913,0.0014641,-0.00175678,-0.000587315,-0.00491306,0.000942054,0.000934184,0.00214837,0.00311079
2,153.271,-23.1753,173.422,0.0689207,-0.0800758,-0.0575658,0.000515024,0.000759069,0.00171908,0.00330403,153.093,-26.2173,93.3903,0.0341983,-0.0489265,-0.0606831,0.000413459,0.000628492,0.00147837,0.00245989,152.408,-25.3822,13.4939,0.00312351,-0.0223115,-0.0570591,0.000322694,0.00053803,0.00123705,0.00186188,153.088,-25.9164,-67.2657,-0.0291507,0.00280688,-0.0725476,0.000465543,0.000862479,0.00190484,0.00257156,2.65105,-15.1913,0.0014641,-0.00102253,-0.000540007,-0.00143595,0.00093293,0.00093082,0.0021422,0.00310107
3,153.271,-23.1753,173.422,0.104612,-0.120158,-0.081558,0.000527948,0.000781025,0.00176812,0.00339347,153.093,-26.2173,93.3903,0.0523474,-0.0736092,-0.0843627,0.000409658,0.000621646,0.00146305,0.00243644,152.408,-25.3822,13.4939,0.00486326,-0.0360555,-0.0798358,0.000316574,0.000529256,0.00121607,0.00183095,153.088,-25.9164,-67.2657,-0.0410439,0.00134927,-0.0984454,0.000466451,0.000860437,0.00190229,0.0025618,2.65105,-15.1913,0.0014641,-0.00189443,0.00024614,-0.00173656,0.000908475,0.000916734,0.00211005,0.0030524
4,153.271,-23.1753,173.422,0.105783,-0.00784801,-0.0646007,0.000531999,0.000786924,0.00178215,0.0034182,153.093,-26.2173,93.3903,0.0538992,-0.00541171,-0.0698175,0.000409239,0.000621188,0.00146279,0.00243976,152.408,-25.3822,13.4939,0.00708529,-0.0098324,-0.0610038,0.000321975,0.000538927,0.00123868,0.0018625,153.088,-25.9164,-67.2657,-0.0356368,-0.0163336,-0.0833648,0.000468416,0.000868977,0.00191918,0.00258024,2.65105,-15.1913,0.0014641,8.55006e-05,0.00337255,0.00732159,0.000919931,0.000936897,0.00215744,0.00311668
5,153.271,-23.1753,173.422,0.172633,-0.11035,-0.12793,0.000528366,0.000781433,0.00177031,0.00339067,153.093,-26.2173,93.3903,0.0876479,-0.0703793,-0.136927,0.000426956,0.000646555,0.00152203,0.00253949,152.408,-25.3822,13.4939,0.00970646,-0.0371221,-0.121952,0.000335845,0.00056114,0.00128973,0.00194066,153.088,-25.9164,-67.2657,-0.0603966,-0.0102771,-0.15513,0.00045394,0.000846007,0.00186737,0.00251074,2.65105,-15.1913,0.0014641,-0.00138004,0.00023978,0.000633061,0.000921797,0.000935024,0.00215285,0.00311288
6,153.271,-23.1753,173.422,0.05902,0.00750573,-0.0156975,0.00054733,0.000806115,0.00182871,0.00350459,153.093,-26.2173,93.3903,0.0281314,0.00813006,-0.0267222,0.000426352,0.000648168,0.00152597,0.00254404,152.408,-25.3822,13.4939,0.00412854,1.77763e-05,-0.00861032,0.000333782,0.000553187,0.00127127,0.00192135,153.088,-25.9164,-67.2657,-0.00901849,-0.010704,-0.0381283,0.000476888,0.000888098,0.00196242,0.00263636,2.65105,-15.1913,0.0014641,-0.000273234,0.000873368,0.00233458,0.000938698,0.000946175,0.00217819,0.00314891
7,153.271,-23.1753,173.422,0.15855,-0.10078,-0.101773,0.000549426,0.000809551,0.00183514,0.0035243,153.093,-26.2173,93.3903,0.0798573,-0.0591803,-0.116021,0.000466279,0.00070016,0.00164874,0.00276076,152.408,-25.3822,13.4939,0.00957409,-0.0312374,-0.0953396,0.00039603,0.000654932,0.00150513,0.00227717,153.088,-25.9164,-67.2657,-0.0477472,-0.00451454,-0.128182,0.000484116,0.000896933,0.00198149,0.00266666,2.65105,-15.1913,0.0014641,-0.00114131,0.00123208,0.00185367,0.000918333,0.000942241,0.00217035,0.00313499
8,153.271,-23.1753,173.422,0.116317,0.0360534,-0.0483304,0.000563234,0.000828344,0.0018777,0.00361061,153.093,-26.2173,93.3903,0.0582038,0.0251108,-0.0703242,0.00047728,0.000716979,0.00168833,0.00282522,152.408,-25.3822,13.4939,0.00909176,0.00470711,-0.0443658,0.000391988,0.000648989,0.00149022,0.00226079,153.088,-25.9164,-67.2657,-0.0243707,-0.0179765,-0.0764777,0.000500902,0.000928537,0.00205184,0.00275692,2.65105,-15.1913,0.0014641,-0.000535112,-0.00214976,0.00116025,0.000927617,0.000923187,0.00212377,0.00307655
9,153.271,-23.1753,173.422,0.102063,-0.101879,-0.0436609,0.000539693,0.000789958,0.00179082,0.00344891,153.093,-26.2173,93.3903,0.0493408,-0.053565,-0.067494,0.0004147,0.000634476,0.00149352,0.00248236,152.408,-25.3822,13.4939,0.0059044,-0.0223133,-0.039103,0.000322394,0.000538331,0.00123673,0.00186471,153.088,-25.9164,-67.2657,-0.0183967,0.00453858,-0.0783808,0.000474884,0.000877205,0.00193929,0.00260297,2.65105,-15.1913,0.0014641,-0.00124567,-0.000974217,-0.00286929,0.000940783,0.000923996,0.00212414,0.00307775
