"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,159.309,-33.1005,207.675,0,0,0,0.00106537,0.00171658,0.00393559,0.010944,154.454,-31.9309,145.349,0,0,0,0.000895546,0.00140035,0.00331357,0.00807523,153.065,-31.4168,85.7642,0,0,0,0.000967806,0.001558,0.00373671,0.0078949,152.701,-34.0596,25.4084,0,0,0,0.00103655,0.00179493,0.00421953,0.0082422,4.5889,-16.1362,0.0151043,0,0,0,0.00261775,0.00201817,0.00445827,0.00889496
1,159.309,-33.1005,207.675,0.111835,0.0977724,-0.0687822,0.000537572,0.000805968,0.0018196,0.0035733,154.454,-31.9309,145.349,0.077133,0.0698903,-0.0800438,0.000465125,0.000702005,0.00165128,0.00284181,153.065,-31.4168,85.7642,0.0466821,0.0429563,-0.0944221,0.000446327,0.00069533,0.00167208,0.00248565,152.701,-34.0596,25.4084,0.0115418,0.0126837,-0.0830568,0.000400444,0.000672759,0.00157849,0.00217846,4.5889,-16.1362,0.0151043,-0.00107139,-0.00693038,-0.00602628,0.000981933,0.00106192,0.00239465,0.00324677
2,159.309,-33.1005,207.675,-0.0642313,-0.0130331,0.0553718,0.000538432,0.000806243,0.0018205,0.00357196,154.454,-31.9309,145.349,-0.0485112,-0.00905008,0.0286417,0.000444835,0.000674027,0.00158435,0.00272928,153.065,-31.4168,85.7642,-0.0253401,-0.00239667,0.00775284,0.000407467,0.000636375,0.00153068,0.00226567,152.701,-34.0596,25.4084,-0.0107774,-0.00314408,0.0275653,0.000370198,0.000621399,0.00145812,0.00201064,4.5889,-16.1362,0.0151043,-0.000908625,-0.00426482,-0.0078027,0.00101306,0.00107474,0.00242331,0.00328323
3,159.309,-33.1005,207.675,0.166204,0.0782743,-0.0882417,0.000521388,0.000785392,0.00177252,0.00347863,154.454,-31.9309,145.349,0.109696,0.0508155,-0.120861,0.000442274,0.000667715,0.00157234,0.00269515,153.065,-31.4168,85.7642,0.0708611,0.0346886,-0.147093,0.00033056,0.000515782,0.00124164,0.00183678,152.701,-34.0596,25.4084,0.0174776,0.000398167,-0.121033,0.000336598,0.000566746,0.00133058,0.0018292,4.5889,-16.1362,0.0151043,-0.000917778,-0.00462515,0.000242422,0.00100396,0.00106998,0.00241288,0.00327497
4,159.309,-33.1005,207.675,-0.122399,-0.0173853,0.117085,0.00052479,0.000784133,0.00177031,0.00347771,154.454,-31.9309,145.349,-0.0953338,-0.0125983,0.0778364,0.000438777,0.000662848,0.00155889,0.00268243,153.065,-31.4168,85.7642,-0.0464599,0.00702036,0.037165,0.0003386,0.000527822,0.00127108,0.00188071,152.701,-34.0596,25.4084,-0.0135935,0.00448965,0.0666728,0.00033288,0.000559786,0.00131472,0.00180495,4.5889,-16.1362,0.0151043,-0.000253683,-0.00250054,-0.00550424,0.000977299,0.00105222,0.0023746,0.0032201
5,159.309,-33.1005,207.675,-0.0416236,0.0806432,0.0645514,0.000514219,0.000771941,0.00174082,0.00342267,154.454,-31.9309,145.349,-0.041906,0.0609495,0.0351465,0.000434692,0.00065537,0.00154224,0.0026563,153.065,-31.4168,85.7642,-0.0120565,0.047733,-0.0264733,0.000331761,0.000516141,0.00124262,0.00184235,152.701,-34.0596,25.4084,-0.000633214,0.0186146,0.0138902,0.000324888,0.000546281,0.00128287,0.00176222,4.5889,-16.1362,0.0151043,-0.000469567,-0.00777751,-0.0101305,0.000970964,0.00104684,0.00236396,0.00320519
6,159.309,-33.1005,207.675,0.051323,0.025183,-0.00790019,0.000508082,0.000760985,0.00171688,0.00336915,154.454,-31.9309,145.349,0.0178866,0.0126472,-0.0344271,0.000442208,0.000668822,0.00157309,0.00270552,153.065,-31.4168,85.7642,0.0228451,0.0142749,-0.103373,0.000329907,0.000514357,0.00123826,0.00183363,152.701,-34.0596,25.4084,0.00932143,-0.00788933,-0.0611727,0.000333016,0.000560418,0.00131466,0.00180715,4.5889,-16.1362,0.0151043,-0.00248446,-0.00697406,-0.00813103,0.000991042,0.00107188,0.00242028,0.00328027
7,159.309,-33.1005,207.675,0.259019,0.135816,-0.142848,0.000518866,0.000781205,0.00176197,0.00346536,154.454,-31.9309,145.349,0.160979,0.0908719,-0.157481,0.000427132,0.000648845,0.00152438,0.0026196,153.065,-31.4168,85.7642,0.107346,0.0601049,-0.240779,0.000336971,0.000523619,0.00126073,0.00186455,152.701,-34.0596,25.4084,0.0372801,0.00231385,-0.194308,0.000332117,0.000559508,0.00131352,0.00180002,4.5889,-16.1362,0.0151043,-0.00116585,-0.00589873,0.00148565,0.000993282,0.00106062,0.00239314,0.0032455
8,159.309,-33.1005,207.675,-0.0499671,0.0038665,0.0735137,0.000509664,0.000767433,0.00173309,0.00340327,154.454,-31.9309,145.349,-0.057899,0.00105579,0.0561001,0.000429411,0.00065062,0.00152918,0.00263088,153.065,-31.4168,85.7642,-0.0220734,0.017764,-0.036483,0.000345845,0.000536807,0.00129175,0.00192127,152.701,-34.0596,25.4084,0.0025469,0.000536298,0.00907857,0.000333728,0.000561277,0.00131859,0.00180945,4.5889,-16.1362,0.0151043,6.11005e-05,0.000286217,0.000665343,0.000991302,0.00106852,0.00241238,0.00326679
9,159.309,-33.1005,207.675,0.128276,0.0955498,-0.0500322,0.00049536,0.000743143,0.00167628,0.00329964,154.454,-31.9309,145.349,0.0637718,0.0632058,-0.0587851,0.000423977,0.000641736,0.00150967,0.00259683,153.065,-31.4168,85.7642,0.0477376,0.053475,-0.164472,0.000338168,0.000526566,0.00126731,0.00187767,152.701,-34.0596,25.4084,0.0235215,0.00474857,-0.113312,0.000324104,0.000545503,0.00128207,0.00175153,4.5889,-16.1362,0.0151043,-0.000207759,-0.00448905,-0.000248205,0.00101028,0.00106556,0.00240399,0.00325866
