"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,155.731,-40.1085,207.377,0,0,0,0.0010302,0.0016889,0.00384659,0.0106911,151.124,-39.7347,144.97,0,0,0,0.000841391,0.00135455,0.00316221,0.00786455,149.349,-36.4645,85.6461,0,0,0,0.000899248,0.00147376,0.00349771,0.00743239,148.112,-38.4452,25.2336,0,0,0,0.00106269,0.00182739,0.00431505,0.00836987,3.83659,-19.3167,0.0163841,0,0,0,0.00262707,0.00204469,0.00453138,0.00898639
1,155.731,-40.1085,207.377,-0.0236072,-0.0580418,0.0208457,0.000512578,0.000775627,0.00174184,0.00342879,151.124,-39.7347,144.97,-0.0153426,-0.0384237,0.0146964,0.000432944,0.000666712,0.00154582,0.00271691,149.349,-36.4645,85.6461,-0.00794581,-0.0224829,0.0164852,0.000345881,0.000547502,0.00129888,0.00194752,148.112,-38.4452,25.2336,-0.00020901,-9.51501e-05,0.0127106,0.000386965,0.000649772,0.00152877,0.00209267,3.83659,-19.3167,0.0163841,0.000160575,0.00263942,0.00197097,0.000950204,0.00103776,0.00235514,0.00317416
2,155.731,-40.1085,207.377,-0.166606,0.026953,0.123151,0.000504329,0.000761102,0.00170941,0.00335687,151.124,-39.7347,144.97,-0.113435,0.0313505,0.112865,0.000418264,0.000643927,0.00149145,0.00263129,149.349,-36.4645,85.6461,-0.0649698,0.0227191,0.113138,0.000304595,0.000484887,0.00115184,0.00171745,148.112,-38.4452,25.2336,-0.0138816,0.0205951,0.102316,0.000341549,0.000571728,0.00134295,0.00184112,3.83659,-19.3167,0.0163841,-0.00106101,-0.00284999,-0.00776913,0.000948386,0.00105816,0.0024037,0.00323359
3,155.731,-40.1085,207.377,0.188108,-0.0994251,-0.136622,0.000505579,0.000764135,0.00171534,0.00337553,151.124,-39.7347,144.97,0.134635,-0.065472,-0.150426,0.000415537,0.000641428,0.00148618,0.00262024,149.349,-36.4645,85.6461,0.0813584,-0.040276,-0.136002,0.000317737,0.000503849,0.00119769,0.00178774,148.112,-38.4452,25.2336,0.0270772,-0.00804519,-0.147846,0.000336148,0.000565486,0.00133235,0.0018131,3.83659,-19.3167,0.0163841,-0.00182116,0.000701509,0.00273756,0.000957996,0.00105506,0.00239474,0.00322839
4,155.731,-40.1085,207.377,-0.240376,0.00589973,0.181673,0.000519967,0.000778592,0.0017471,0.00346177,151.124,-39.7347,144.97,-0.161511,0.023156,0.15165,0.000423269,0.000653347,0.00151223,0.00267596,149.349,-36.4645,85.6461,-0.0912836,0.0227989,0.165466,0.00032299,0.000513205,0.00122096,0.00181363,148.112,-38.4452,25.2336,-0.0183457,0.0323899,0.148104,0.000341321,0.000573681,0.00135091,0.00183897,3.83659,-19.3167,0.0163841,0.000131311,-0.00114202,-0.00578583,0.000925394,0.00103167,0.00234299,0.00315261
5,155.731,-40.1085,207.377,-0.0854759,-0.117792,0.066715,0.000536771,0.000807569,0.00181346,0.00357822,151.124,-39.7347,144.97,-0.0504756,-0.0719324,0.0270903,0.000429085,0.000657864,0.00152473,0.00269175,149.349,-36.4645,85.6461,-0.0276178,-0.0421965,0.0478899,0.00032019,0.000504888,0.00120097,0.001799,148.112,-38.4452,25.2336,-0.00248895,0.000681271,0.0277174,0.000335064,0.000563306,0.00132466,0.00181676,3.83659,-19.3167,0.0163841,-0.000396014,0.00141177,-0.00125686,0.000931475,0.00101554,0.00230285,0.00310298
6,155.731,-40.1085,207.377,0.0149372,-0.0205413,0.0116996,0.000529773,0.000806275,0.00181116,0.00355018,151.124,-39.7347,144.97,0.0216505,0.000666745,-0.0356611,0.000438662,0.000675599,0.00156588,0.00275788,149.349,-36.4645,85.6461,0.0145481,0.00518194,-0.0137514,0.000308296,0.000488684,0.00116188,0.00174143,148.112,-38.4452,25.2336,0.0119902,0.023253,-0.0368194,0.00033452,0.000562247,0.00132248,0.0018117,3.83659,-19.3167,0.0163841,-0.0005004,0.000283181,0.00130935,0.000935337,0.00100351,0.00227557,0.00306595
7,155.731,-40.1085,207.377,0.0218964,0.00526879,0.0107488,0.000506116,0.000771709,0.00173543,0.0033942,151.124,-39.7347,144.97,0.0291823,0.0213535,-0.0432177,0.000430503,0.000666028,0.00154398,0.00271218,149.349,-36.4645,85.6461,0.0181196,0.0157151,-0.0182653,0.000321858,0.000511759,0.00121617,0.00181805,148.112,-38.4452,25.2336,0.0135419,0.0257309,-0.0431209,0.000326696,0.000547289,0.00128941,0.00176432,3.83659,-19.3167,0.0163841,-0.00139236,-0.000388765,0.00199668,0.000959962,0.00104516,0.00236971,0.00319209
8,155.731,-40.1085,207.377,-0.197158,-0.00767977,0.17115,0.000485365,0.00073879,0.00165896,0.00325678,151.124,-39.7347,144.97,-0.122092,0.0181928,0.10646,0.00042502,0.000653895,0.00151604,0.0026652,149.349,-36.4645,85.6461,-0.0717816,0.0177761,0.126695,0.000300398,0.000477614,0.00113489,0.0016978,148.112,-38.4452,25.2336,-0.00961344,0.0336054,0.0926966,0.000341537,0.000570569,0.0013421,0.00184078,3.83659,-19.3167,0.0163841,-0.000833989,-0.000350798,-0.00426069,0.000992806,0.00108199,0.0024542,0.00330283
9,155.731,-40.1085,207.377,-0.0671201,-0.0547984,0.0680333,0.000473385,0.000717829,0.0016125,0.00316932,151.124,-39.7347,144.97,-0.0308854,-0.0185484,-0.000775913,0.000439507,0.000673276,0.00156298,0.00274426,149.349,-36.4645,85.6461,-0.0194897,-0.00769066,0.024225,0.00030201,0.000478806,0.00113863,0.00170384,148.112,-38.4452,25.2336,0.00567372,0.0217353,-0.00672751,0.000330804,0.000554312,0.00130571,0.00178703,3.83659,-19.3167,0.0163841,-0.00136111,-0.000822015,-0.0014994,0.000970877,0.00106074,0.00240639,0.00324275
