"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,159.838,-38.5496,212.098,0,0,0,0.00101428,0.00165848,0.00380651,0.0106635,156.974,-38.2563,150.408,0,0,0,0.000809672,0.00131345,0.00311226,0.00770393,155.043,-35.4072,91.0698,0,0,0,0.000975867,0.00160511,0.00386138,0.00826601,155.222,-38.4605,33.0484,0,0,0,0.00105726,0.00188476,0.0044695,0.00865017,4.79561,-15.5219,0.00750048,0,0,0,0.00258994,0.00200761,0.00444101,0.0088495
1,159.838,-38.5496,212.098,-0.0516599,-0.137794,0.0175129,0.000488461,0.000733254,0.00165261,0.00327113,156.974,-38.2563,150.408,-0.0354641,-0.103487,0.0112487,0.000437473,0.000662291,0.00155809,0.00271817,155.043,-35.4072,91.0698,-0.0230808,-0.0702063,0.00951812,0.000310292,0.000482332,0.00116482,0.00174601,155.222,-38.4605,33.0484,-0.00968525,-0.0340445,0.0117186,0.000327434,0.00053943,0.0012822,0.00174535,4.79561,-15.5219,0.00750048,-0.000315899,-0.00122732,-0.0083036,0.000958712,0.00104798,0.00237046,0.00320865
2,159.838,-38.5496,212.098,0.0795012,-0.113742,-0.0749284,0.00050485,0.000760836,0.00171364,0.00339738,156.974,-38.2563,150.408,0.0596174,-0.0840871,-0.0781555,0.000437581,0.000659312,0.00155094,0.00271105,155.043,-35.4072,91.0698,0.032846,-0.0579527,-0.0779378,0.000303684,0.000473192,0.00114206,0.00171007,155.222,-38.4605,33.0484,0.0104049,-0.033861,-0.0815445,0.000325781,0.000536703,0.00127673,0.00173596,4.79561,-15.5219,0.00750048,-0.000343198,-0.000387723,-0.00217287,0.000959265,0.00104695,0.00236653,0.00320652
3,159.838,-38.5496,212.098,0.0793479,-0.149022,-0.0806983,0.00051267,0.000769332,0.00173228,0.00344293,156.974,-38.2563,150.408,0.0621491,-0.106705,-0.0830219,0.000445783,0.000671245,0.00158148,0.00275567,155.043,-35.4072,91.0698,0.033321,-0.0769493,-0.0896215,0.000306064,0.000476825,0.00115118,0.00171925,155.222,-38.4605,33.0484,0.0109568,-0.0417418,-0.0900279,0.00032725,0.000540175,0.00128318,0.00174764,4.79561,-15.5219,0.00750048,-0.000143413,0.000340179,-0.00373918,0.000959017,0.00104464,0.00236119,0.00320017
4,159.838,-38.5496,212.098,-0.0924143,-0.186433,0.0322184,0.000505559,0.000755873,0.00170372,0.00338529,156.974,-38.2563,150.408,-0.0562458,-0.13012,0.0233255,0.000458836,0.000690554,0.00162523,0.00283065,155.043,-35.4072,91.0698,-0.0389058,-0.0826453,0.0173806,0.000325534,0.000505301,0.00122021,0.00182982,155.222,-38.4605,33.0484,-0.014324,-0.037086,0.0106715,0.000336145,0.000552942,0.00131227,0.0017934,4.79561,-15.5219,0.00750048,-0.00126589,-0.00342422,-0.0126076,0.000944686,0.00102493,0.00231711,0.00313868
5,159.838,-38.5496,212.098,0.00939514,-0.081666,-0.0249077,0.000493561,0.000738395,0.00166483,0.0033067,156.974,-38.2563,150.408,0.0178641,-0.0555121,-0.0315225,0.000444845,0.000671594,0.00157991,0.00275814,155.043,-35.4072,91.0698,0.00609346,-0.0412567,-0.0474679,0.000318737,0.00049729,0.00120123,0.00179761,155.222,-38.4605,33.0484,0.00183312,-0.0208396,-0.044437,0.000325488,0.000540935,0.00128538,0.00174716,4.79561,-15.5219,0.00750048,-0.000473075,-0.00283164,-0.00685314,0.000963236,0.00104622,0.00236468,0.0032035
6,159.838,-38.5496,212.098,-0.103651,-0.108754,0.051456,0.000483497,0.00072585,0.0016372,0.00324306,156.974,-38.2563,150.408,-0.0587792,-0.0678158,0.0429949,0.00044019,0.000664157,0.0015614,0.00273293,155.043,-35.4072,91.0698,-0.0393715,-0.0421838,0.0246826,0.000319284,0.000497922,0.00120293,0.00179882,155.222,-38.4605,33.0484,-0.0136205,-0.0129783,0.0236967,0.000323425,0.000538703,0.00128087,0.00173999,4.79561,-15.5219,0.00750048,-0.000187286,-0.00344443,-0.0101892,0.000964798,0.00106037,0.00239687,0.0032485
7,159.838,-38.5496,212.098,0.000689057,-0.124109,-0.0150604,0.00049679,0.000743282,0.00167592,0.0033221,156.974,-38.2563,150.408,0.0173271,-0.0812882,-0.0234717,0.000439642,0.000663483,0.00156114,0.00272477,155.043,-35.4072,91.0698,0.00657914,-0.0543637,-0.0467333,0.000307885,0.00048049,0.00116066,0.00173441,155.222,-38.4605,33.0484,0.00123524,-0.0257803,-0.0467579,0.000316391,0.000523876,0.00124549,0.00169495,4.79561,-15.5219,0.00750048,-2.59534e-05,0.000804838,-0.00292775,0.000984005,0.0010698,0.00241946,0.00327613
8,159.838,-38.5496,212.098,0.0346464,-0.0775793,-0.0309491,0.0004939,0.000741164,0.00166923,0.00330966,156.974,-38.2563,150.408,0.0443077,-0.0463286,-0.0396343,0.000436901,0.000658352,0.00154928,0.00270846,155.043,-35.4072,91.0698,0.0241085,-0.0311032,-0.0681452,0.000306192,0.000477112,0.00115198,0.00172515,155.222,-38.4605,33.0484,0.00705293,-0.0140142,-0.0674352,0.000324227,0.000537183,0.00127748,0.00173873,4.79561,-15.5219,0.00750048,-0.000349142,0.000135472,-0.00119749,0.00098597,0.00105998,0.00239563,0.00324576
9,159.838,-38.5496,212.098,-0.0691492,-0.0934655,0.0432165,0.000504518,0.000757172,0.00170648,0.00337682,156.974,-38.2563,150.408,-0.026378,-0.0536038,0.0329855,0.000449284,0.000676818,0.0015917,0.00278457,155.043,-35.4072,91.0698,-0.0167619,-0.0311412,0.00323129,0.000310477,0.000483312,0.00116683,0.00174598,155.222,-38.4605,33.0484,-0.00571038,-0.00555993,0.00864615,0.000326399,0.00054023,0.00128255,0.00174876,4.79561,-15.5219,0.00750048,0.000551646,-0.000612459,-0.00520826,0.000956584,0.00102902,0.00232676,0.00315101
