"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
10,157.812,-39.2326,204.368,-0.0704554,0.0132907,0.0392284,0.000519863,0.000735244,0.00178189,0.00351054,151.871,-37.3195,144.675,-0.0611267,0.0157582,0.0116495,0.00042451,0.000606587,0.0015258,0.00270163,154.598,-34.4965,87.8032,-0.0160229,0.00560928,0.0380187,0.000309277,0.000452433,0.00117636,0.00179137,153.88,-36.2815,32.03,-0.00443882,0.0222323,-0.00381919,0.000333909,0.000529713,0.00134013,0.00186953,6.33047,-15.0655,0.014952,-0.000623363,-3.72163e-05,-0.000509537,0.000941925,0.000975968,0.00235332,0.00324131
11,157.812,-39.2326,204.368,-0.0714181,-0.0422274,0.03055,0.000529662,0.000737238,0.00179234,0.00352879,151.871,-37.3195,144.675,-0.0616435,-0.0245411,0.00656768,0.000436459,0.0006209,0.00156214,0.00276905,154.598,-34.4965,87.8032,-0.0152824,-0.027464,0.0304743,0.00030579,0.000448035,0.00116413,0.00177052,153.88,-36.2815,32.03,-0.00477097,0.0058709,-0.018698,0.000325156,0.000515439,0.00130428,0.00181925,6.33047,-15.0655,0.014952,-0.000951073,-0.00232267,-0.00587855,0.000907693,0.000949233,0.00229103,0.00315563
12,157.812,-39.2326,204.368,-0.027111,-0.0198832,-0.00723254,0.000528534,0.000743465,0.00180334,0.00356128,151.871,-37.3195,144.675,-0.0311665,-0.00525975,-0.0261671,0.000459506,0.000651188,0.00163889,0.00290869,154.598,-34.4965,87.8032,0.00334392,-0.0116468,0.00745377,0.000354585,0.000515454,0.00133928,0.00204487,153.88,-36.2815,32.03,0.00341451,0.0150671,-0.0533933,0.000342691,0.000538547,0.00136175,0.00190661,6.33047,-15.0655,0.014952,-0.000715504,-0.00104137,-0.00191182,0.000909227,0.000964883,0.0023313,0.00320837
13,157.812,-39.2326,204.368,-0.175501,0.0102499,0.0976922,0.000509211,0.000721958,0.00175019,0.00345454,151.871,-37.3195,144.675,-0.135536,0.0189877,0.0740326,0.000449348,0.000636305,0.0016027,0.00284071,154.598,-34.4965,87.8032,-0.0603252,0.00282602,0.110441,0.000349232,0.000504688,0.00131206,0.00200346,153.88,-36.2815,32.03,-0.0187089,0.0286189,0.0490505,0.000368233,0.000580536,0.00146675,0.00205658,6.33047,-15.0655,0.014952,-0.000689788,-0.00384807,-0.00801006,0.000920448,0.000977113,0.00236095,0.0032482
14,157.812,-39.2326,204.368,-0.0347404,0.00261933,-0.00916622,0.000502884,0.000712642,0.0017306,0.00339489,151.871,-37.3195,144.675,-0.0371195,0.0136006,-0.0286213,0.000454275,0.000646194,0.00162635,0.0028834,154.598,-34.4965,87.8032,-0.00261468,-0.00226441,0.0118063,0.000310696,0.000450095,0.00117005,0.00178568,153.88,-36.2815,32.03,0.00207546,0.0235142,-0.0596843,0.00032549,0.000518087,0.0013106,0.00182733,6.33047,-15.0655,0.014952,-0.00096087,-0.00106961,-0.00208172,0.000909191,0.000971566,0.00234886,0.00322714
15,157.812,-39.2326,204.368,-0.0621755,0.0228268,0.0104577,0.00051253,0.000722836,0.00175647,0.00345487,151.871,-37.3195,144.675,-0.0574292,0.0285068,-0.0109131,0.000435887,0.000620585,0.00156253,0.0027615,154.598,-34.4965,87.8032,-0.0161183,0.00623633,0.0364218,0.000290973,0.000430171,0.00111926,0.00169455,153.88,-36.2815,32.03,-0.00273057,0.0300046,-0.0372239,0.000329786,0.000522646,0.00132095,0.00184823,6.33047,-15.0655,0.014952,-0.000426896,-0.000831629,-0.00181759,0.000891421,0.000960282,0.0023213,0.00318808
16,157.812,-39.2326,204.368,-0.0326214,0.01991,-0.0232703,0.000516586,0.00072595,0.00176276,0.00346441,151.871,-37.3195,144.675,-0.0369794,0.029423,-0.0417709,0.000433661,0.000618522,0.0015574,0.00274793,154.598,-34.4965,87.8032,-0.00515133,0.00871895,0.0114122,0.000291814,0.000433354,0.00112646,0.00170057,153.88,-36.2815,32.03,0.000671731,0.0324955,-0.0704634,0.000316787,0.000502871,0.00127238,0.00177529,6.33047,-15.0655,0.014952,-0.000881435,-0.00208568,-0.00326241,0.000940404,0.000975853,0.00235695,0.00324425
17,157.812,-39.2326,204.368,0.00248887,0.0156595,-0.0524707,0.000509864,0.000717159,0.00174314,0.00342652,151.871,-37.3195,144.675,-0.0132329,0.0211906,-0.072598,0.000427628,0.000609578,0.00153463,0.0027147,154.598,-34.4965,87.8032,0.00841428,-0.0043692,-0.0178624,0.000290838,0.000427817,0.00111211,0.00168924,153.88,-36.2815,32.03,0.00288672,0.0247473,-0.0969959,0.000314723,0.000503269,0.00127336,0.0017681,6.33047,-15.0655,0.014952,-0.000747979,-0.00337395,-0.00416657,0.000909504,0.000967068,0.00233667,0.0032129
18,157.812,-39.2326,204.368,0.0313809,0.0564674,-0.0729534,0.000517463,0.000745814,0.00180832,0.00353843,151.871,-37.3195,144.675,0.00739848,0.0559452,-0.0911169,0.000436131,0.000621104,0.00156312,0.00276479,154.598,-34.4965,87.8032,0.0206005,0.0223957,-0.025298,0.000303392,0.000444146,0.00115447,0.00175632,153.88,-36.2815,32.03,0.00677515,0.0430929,-0.109497,0.000310058,0.000495882,0.00125402,0.00174251,6.33047,-15.0655,0.014952,-0.00010556,0.000467786,0.00381263,0.00093357,0.000976932,0.00236041,0.0032449
19,157.812,-39.2326,204.368,-0.0997288,-0.00211835,0.0115805,0.00052342,0.000750639,0.00182078,0.00357173,151.871,-37.3195,144.675,-0.0851616,0.00583102,-0.0213389,0.000437211,0.000621999,0.00156447,0.00277483,154.598,-34.4965,87.8032,-0.0364658,-0.0144504,0.0518937,0.000290844,0.000428692,0.00111437,0.00168836,153.88,-36.2815,32.03,-0.0173613,0.0246539,-0.0315046,0.000313751,0.000496755,0.00125502,0.00175567,6.33047,-15.0655,0.014952,-0.000641509,-0.00141033,-0.00306905,0.000929151,0.000974464,0.00235393,0.00323804
20,157.812,-39.2326,204.368,-0.130588,-0.00252917,0.0300656,0.000509305,0.00072066,0.00174828,0.00343983,151.871,-37.3195,144.675,-0.104137,0.014047,0.0019773,0.000429608,0.000610742,0.00153731,0.00272432,154.598,-34.4965,87.8032,-0.0475677,-0.00422438,0.0812879,0.0002861,0.000417845,0.00108631,0.00165764,153.88,-36.2815,32.03,-0.020509,0.0386566,-0.00920193,0.000308127,0.000486649,0.00123072,0.00172295,6.33047,-15.0655,0.014952,0.00089173,0.00137428,0.00107801,0.000909128,0.000963888,0.00232869,0.0032011
21,157.812,-39.2326,204.368,-0.101546,-0.0100785,0.00471861,0.000505246,0.000718191,0.00174397,0.00343423,151.871,-37.3195,144.675,-0.0809394,0.00326531,-0.0323306,0.000437773,0.000625032,0.00157201,0.00278452,154.598,-34.4965,87.8032,-0.0345231,-0.0182641,0.0500241,0.000290572,0.000427953,0.00111252,0.0016893,153.88,-36.2815,32.03,-0.0181418,0.0307069,-0.0357766,0.000311279,0.000496751,0.00125627,0.00174858,6.33047,-15.0655,0.014952,-0.00072544,-0.00212643,-0.00469144,0.000889872,0.000950459,0.00229584,0.00315885
22,157.812,-39.2326,204.368,-0.0100589,-0.0017459,-0.0623054,0.000532458,0.000752754,0.00182879,0.00358881,151.871,-37.3195,144.675,-0.013308,0.00605066,-0.10156,0.000435519,0.00062308,0.00156889,0.00276776,154.598,-34.4965,87.8032,0.00580498,-0.0178913,-0.0148843,0.000298606,0.000438725,0.00114035,0.00173518,153.88,-36.2815,32.03,-0.00261659,0.0291707,-0.10601,0.000311169,0.000495583,0.00125273,0.00174705,6.33047,-15.0655,0.014952,-0.000478801,-0.00148192,-0.00267988,0.000917495,0.00095839,0.00231399,0.0031887
23,157.812,-39.2326,204.368,0.0421963,0.0501144,-0.0941415,0.000551643,0.000775473,0.00188591,0.00370776,151.871,-37.3195,144.675,0.027784,0.0453906,-0.129114,0.000451776,0.000644873,0.00162319,0.00286749,154.598,-34.4965,87.8032,0.0292755,0.00215244,-0.046336,0.000337173,0.000490461,0.00127508,0.00194801,153.88,-36.2815,32.03,0.00734308,0.0404877,-0.136817,0.000341156,0.000540337,0.00136502,0.00191178,6.33047,-15.0655,0.014952,-0.000750227,-0.0020849,-0.000991321,0.00093431,0.000979496,0.00236608,0.00326053
24,157.812,-39.2326,204.368,0.0307755,-0.0866183,-0.104676,0.000540886,0.000757909,0.001842,0.00363229,151.871,-37.3195,144.675,0.0217031,-0.0571764,-0.142215,0.000440132,0.000625734,0.00157589,0.00278632,154.598,-34.4965,87.8032,0.0237651,-0.0630308,-0.0514871,0.000306366,0.000451854,0.00117298,0.00178117,153.88,-36.2815,32.03,0.00618447,0.0115384,-0.147571,0.000323164,0.000508211,0.00128448,0.00179844,6.33047,-15.0655,0.014952,-0.00120358,-0.000629643,-0.00206645,0.000905147,0.000963368,0.00232984,0.0032028
25,157.812,-39.2326,204.368,0.0157882,0.0411524,-0.075063,0.000511865,0.000721181,0.00175349,0.00344465,151.871,-37.3195,144.675,0.0154757,0.0354,-0.113673,0.000437517,0.000620378,0.00156094,0.00277052,154.598,-34.4965,87.8032,0.0194743,-0.0036722,-0.0271713,0.000302316,0.000439,0.00114012,0.00174257,153.88,-36.2815,32.03,0.00824515,0.042186,-0.124378,0.000323276,0.000506279,0.00127911,0.00179085,6.33047,-15.0655,0.014952,-0.000403179,-0.00209035,-0.00107601,0.000893173,0.000953394,0.00230481,0.00316658
26,157.812,-39.2326,204.368,-0.0181239,-0.0203435,-0.0539729,0.000539328,0.000766485,0.00186244,0.00364684,151.871,-37.3195,144.675,-0.00724473,-0.00872882,-0.092731,0.000452269,0.000641224,0.00161446,0.00286514,154.598,-34.4965,87.8032,0.00336622,-0.0323349,-0.00274332,0.000347199,0.000501322,0.00130325,0.00199287,153.88,-36.2815,32.03,0.00389464,0.0312286,-0.104357,0.000357411,0.000559107,0.00141137,0.00198296,6.33047,-15.0655,0.014952,0.000737425,0.00180936,0.00276436,0.000907308,0.000964975,0.00233079,0.00320125
27,157.812,-39.2326,204.368,-0.0885714,0.00339763,0.00808,0.000526735,0.000749618,0.00182002,0.00357425,151.871,-37.3195,144.675,-0.0561472,0.00992342,-0.0320842,0.000469362,0.000665124,0.00167386,0.00296534,154.598,-34.4965,87.8032,-0.0282271,-0.0209172,0.0556313,0.000341565,0.000498528,0.0012953,0.00197605,153.88,-36.2815,32.03,-0.00692699,0.0360052,-0.0530658,0.000335436,0.000529026,0.00133648,0.00187409,6.33047,-15.0655,0.014952,0.000303287,-0.000371797,-0.00150327,0.000899087,0.00096946,0.00234299,0.00321834
28,157.812,-39.2326,204.368,0.0476429,-0.0234314,-0.0936927,0.000493151,0.000707517,0.00171886,0.00335639,151.871,-37.3195,144.675,0.0395204,-0.0105219,-0.128705,0.000437157,0.000624874,0.00157115,0.00278656,154.598,-34.4965,87.8032,0.0255522,-0.038671,-0.0447486,0.000309218,0.000449943,0.00117001,0.00178524,153.88,-36.2815,32.03,0.0107538,0.0270399,-0.1529,0.000319196,0.000503713,0.0012738,0.00178454,6.33047,-15.0655,0.014952,-0.00120218,-0.000597238,-0.000363573,0.000928184,0.000973051,0.00235028,0.00323674
29,157.812,-39.2326,204.368,-0.0906525,0.0284465,0.0190094,0.000508445,0.000718729,0.00174404,0.00343897,151.871,-37.3195,144.675,-0.0572873,0.029652,-0.0193675,0.000419867,0.000596768,0.00150216,0.00266084,154.598,-34.4965,87.8032,-0.0364932,-0.0123951,0.0620689,0.000310253,0.000455231,0.00118354,0.00179883,153.88,-36.2815,32.03,-0.010876,0.0464557,-0.0441011,0.000319337,0.000504784,0.0012775,0.00178566,6.33047,-15.0655,0.014952,-0.000254596,-0.00272682,-0.0045143,0.000934849,0.000954194,0.00230281,0.0031764
30,157.812,-39.2326,204.368,-0.0867057,-0.00397449,0.0163874,0.000517518,0.00073129,0.00177366,0.00349564,151.871,-37.3195,144.675,-0.0555181,0.00582186,-0.0142297,0.000439096,0.000626432,0.001575,0.00279572,154.598,-34.4965,87.8032,-0.0401792,-0.0274685,0.0686824,0.000318149,0.000463497,0.00120609,0.00183881,153.88,-36.2815,32.03,-0.0138845,0.0379621,-0.0463333,0.000317653,0.000502984,0.00127292,0.00177916,6.33047,-15.0655,0.014952,-0.00025501,0.000954058,0.000569409,0.000909389,0.000954496,0.00230682,0.00316966
31,157.812,-39.2326,204.368,-0.0691763,0.0578066,0.0251428,0.000549314,0.000780578,0.00189847,0.00372259,151.871,-37.3195,144.675,-0.0420642,0.0449823,-0.0102544,0.000454176,0.000645251,0.00162315,0.00287386,154.598,-34.4965,87.8032,-0.0365445,-0.00492283,0.0661815,0.000300989,0.000441101,0.00114731,0.00174578,153.88,-36.2815,32.03,-0.0132668,0.0488105,-0.0524435,0.00030366,0.000481086,0.00121716,0.00170125,6.33047,-15.0655,0.014952,-0.000219229,-0.0016106,-0.00225473,0.000918339,0.000961115,0.00232198,0.00319335
32,157.812,-39.2326,204.368,-0.0595767,-0.0371241,-0.00291854,0.000550885,0.0007735,0.00188309,0.0036798,151.871,-37.3195,144.675,-0.0359305,-0.0231911,-0.0220043,0.000455058,0.000646453,0.00162884,0.00288007,154.598,-34.4965,87.8032,-0.0377931,-0.0504503,0.05512,0.000318286,0.000464282,0.00120808,0.00183824,153.88,-36.2815,32.03,-0.0162224,0.0258142,-0.0710137,0.000319692,0.000506815,0.00128148,0.00178839,6.33047,-15.0655,0.014952,-0.00124801,-0.00238456,-0.00409966,0.000918458,0.000956273,0.00230973,0.00317846
33,157.812,-39.2326,204.368,-0.0928882,0.0736062,0.0456333,0.000513065,0.000711493,0.00173136,0.00340826,151.871,-37.3195,144.675,-0.0587914,0.0544248,0.0287495,0.000451419,0.000640071,0.00161249,0.00285057,154.598,-34.4965,87.8032,-0.0542725,-0.00254425,0.0971393,0.000323044,0.000471797,0.00122784,0.00186823,153.88,-36.2815,32.03,-0.0215512,0.0525043,-0.0294627,0.00030816,0.000492298,0.00124503,0.0017275,6.33047,-15.0655,0.014952,-8.24709e-05,-0.00137368,-0.00145597,0.000915666,0.000950555,0.00229663,0.00316259
34,157.812,-39.2326,204.368,0.0855277,-0.042362,-0.100084,0.000497435,0.000697595,0.00169324,0.00333735,151.871,-37.3195,144.675,0.0668475,-0.0382879,-0.106757,0.000436348,0.000619701,0.00155962,0.00276138,154.598,-34.4965,87.8032,0.0193964,-0.0667832,-0.0391022,0.00031472,0.000457611,0.00119155,0.00181656,153.88,-36.2815,32.03,0.001879,0.017286,-0.175253,0.000315081,0.000504781,0.0012773,0.00177298,6.33047,-15.0655,0.014952,-0.00137956,-0.00364167,-0.00410757,0.000930397,0.000970895,0.00234406,0.00322547
35,157.812,-39.2326,204.368,0.101172,0.0361136,-0.0946118,0.000513451,0.000729048,0.00177126,0.00348559,151.871,-37.3195,144.675,0.0782306,0.0152395,-0.0932899,0.000433692,0.000619704,0.00155919,0.00275771,154.598,-34.4965,87.8032,0.0268785,-0.0352679,-0.0336618,0.000322556,0.000472332,0.00122873,0.00186854,153.88,-36.2815,32.03,0.00419056,0.0327424,-0.173095,0.000314553,0.000502122,0.0012706,0.00176612,6.33047,-15.0655,0.014952,-0.000881304,-0.00341843,-0.00231659,0.000923236,0.000976081,0.00235791,0.00324408
