"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
10,156.148,-41.8618,202.735,-0.0284227,-0.0381471,0.0268774,0.000509388,0.000724946,0.00172069,0.00337898,154.847,-42.2178,141.57,-0.0111071,-0.0165402,0.0250378,0.000416449,0.00062538,0.00152152,0.00266973,153.606,-39.1175,83.7712,-0.00761375,-0.00649822,0.0126391,0.00030733,0.000460424,0.00116494,0.00174965,151.666,-40.5709,24.6659,0.0083156,0.00682238,0.0178334,0.000304618,0.000492744,0.0012173,0.00167353,4.34404,-12.4706,0.00698889,-0.000663628,-0.00101669,-0.00168387,0.000945069,0.00100103,0.00235919,0.00325985
11,156.148,-41.8618,202.735,-0.00846163,-0.0946448,-0.00954511,0.000498018,0.000716297,0.00169798,0.00334534,154.847,-42.2178,141.57,0.00207399,-0.060894,-0.0128919,0.000413336,0.000621338,0.00151237,0.00264227,153.606,-39.1175,83.7712,-0.000696867,-0.0377677,-0.0245541,0.000329257,0.000496228,0.00125512,0.00187807,151.666,-40.5709,24.6659,0.0083123,-0.0139999,-0.0200871,0.000324945,0.000527983,0.00130536,0.00179012,4.34404,-12.4706,0.00698889,-0.00437898,-0.00849936,-0.0161249,0.000945799,0.000990401,0.0023341,0.00323045
12,156.148,-41.8618,202.735,0.04366,-0.0115726,-0.0159895,0.000494396,0.000714099,0.00169498,0.00332963,154.847,-42.2178,141.57,0.0393709,-0.00372001,-0.0233554,0.000421238,0.000631375,0.00153512,0.00269663,153.606,-39.1175,83.7712,0.0222585,-0.00289676,-0.03864,0.000320797,0.000481534,0.00121837,0.00182973,151.666,-40.5709,24.6659,0.0176101,-0.00367378,-0.0363785,0.000318159,0.000516195,0.00127663,0.0017508,4.34404,-12.4706,0.00698889,-0.00248919,-0.00418111,-0.00591964,0.000969964,0.00102697,0.00242108,0.00335409
13,156.148,-41.8618,202.735,0.100855,-0.0356293,-0.0605474,0.000491457,0.000709816,0.00168376,0.00332272,154.847,-42.2178,141.57,0.080897,-0.01735,-0.0627145,0.000408806,0.000610471,0.00148409,0.00261974,153.606,-39.1175,83.7712,0.0470277,-0.0124469,-0.0848116,0.000308962,0.000467402,0.00118302,0.00176354,151.666,-40.5709,24.6659,0.0264873,-0.00577268,-0.082096,0.000307784,0.000498593,0.00123187,0.00169709,4.34404,-12.4706,0.00698889,-0.0034289,-0.00613322,-0.00936828,0.000962683,0.00102902,0.00242665,0.00335567
14,156.148,-41.8618,202.735,0.0122519,0.00798422,0.0223911,0.00050489,0.000728303,0.0017283,0.0034005,154.847,-42.2178,141.57,0.0192215,0.0125219,0.0146182,0.000397362,0.000591054,0.00143891,0.00253325,153.606,-39.1175,83.7712,0.0114842,0.0094695,-0.00760202,0.000318828,0.000483893,0.00122491,0.00182074,151.666,-40.5709,24.6659,0.0179962,0.00508077,-0.00745833,0.000296649,0.000481027,0.0011881,0.00163684,4.34404,-12.4706,0.00698889,-0.00166517,-0.00228918,-0.00417123,0.000946171,0.000989513,0.00233089,0.00322804
15,156.148,-41.8618,202.735,0.0628105,-0.0334105,-0.0271469,0.000497675,0.000722908,0.00171524,0.00337073,154.847,-42.2178,141.57,0.0540981,-0.0166234,-0.0316746,0.000403753,0.000593897,0.00144757,0.00254761,153.606,-39.1175,83.7712,0.0319468,-0.00989059,-0.0551261,0.000315007,0.000475365,0.00120292,0.00179866,151.666,-40.5709,24.6659,0.0236388,-0.00363871,-0.054707,0.000301127,0.000488203,0.00120716,0.00165711,4.34404,-12.4706,0.00698889,-0.00414144,-0.00991069,-0.0147405,0.000972165,0.000992755,0.00233761,0.00323796
16,156.148,-41.8618,202.735,0.0197417,-0.0484881,0.00328568,0.000472806,0.000688953,0.00163456,0.00320331,154.847,-42.2178,141.57,0.024394,-0.0289878,-0.00339913,0.00039511,0.000582694,0.00141971,0.00249821,153.606,-39.1175,83.7712,0.0142582,-0.0157341,-0.0253839,0.000311385,0.000466452,0.00118011,0.00177234,151.666,-40.5709,24.6659,0.0186342,-0.00400901,-0.0251127,0.000313035,0.000506911,0.0012524,0.0017223,4.34404,-12.4706,0.00698889,-0.0033789,-0.00691973,-0.0122799,0.000991715,0.00101308,0.00238482,0.00330233
17,156.148,-41.8618,202.735,-0.142712,-0.0615846,0.109085,0.000467287,0.00067468,0.00160088,0.00315439,154.847,-42.2178,141.57,-0.089603,-0.0346714,0.104326,0.000423401,0.000631659,0.00153748,0.00270663,153.606,-39.1175,83.7712,-0.0526148,-0.0184566,0.0804607,0.000314722,0.000470882,0.00119129,0.0017924,151.666,-40.5709,24.6659,-0.000361651,-0.00106955,0.080071,0.000314325,0.000507918,0.00125552,0.00172761,4.34404,-12.4706,0.00698889,-0.00447802,-0.0128683,-0.0242967,0.0010001,0.00101495,0.00239036,0.00330987
18,156.148,-41.8618,202.735,0.0129716,0.00491186,0.0202571,0.000479461,0.000693233,0.00164399,0.00323806,154.847,-42.2178,141.57,0.0196792,0.0110572,0.0132034,0.000427504,0.000633805,0.00154361,0.00271634,153.606,-39.1175,83.7712,0.0112978,0.0101862,-0.00911287,0.000394425,0.000590102,0.001493,0.00224411,151.666,-40.5709,24.6659,0.018157,0.0103293,-0.00612315,0.000368535,0.000599427,0.00148088,0.00203941,4.34404,-12.4706,0.00698889,-0.00286283,-0.00539001,-0.00814194,0.00100062,0.00101744,0.00239405,0.00331397
19,156.148,-41.8618,202.735,0.0280747,-0.025258,-0.00212063,0.000501568,0.000720303,0.00170957,0.0033513,154.847,-42.2178,141.57,0.0294956,-0.00994356,-0.00659815,0.000441173,0.000652129,0.00158849,0.00279573,153.606,-39.1175,83.7712,0.0163695,-0.00248255,-0.0264427,0.00036139,0.000541907,0.00137097,0.00205938,151.666,-40.5709,24.6659,0.0181498,0.00161455,-0.0284339,0.000335341,0.000545234,0.00134838,0.00185387,4.34404,-12.4706,0.00698889,-0.00388638,-0.00825385,-0.0135939,0.00096707,0.000993913,0.00234183,0.00323996
