"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,144.16,-26.2108,177.356,0,0,0,0.00124363,0.0020332,0.00461716,0.0124806,142.501,-31.2693,96.8094,0,0,0,0.000831847,0.00140385,0.00326508,0.00781991,143.687,-28.3071,18.2222,0,0,0,0.00100097,0.00187645,0.00426098,0.00931509,143.647,-29.2945,-62.6334,0,0,0,0.000786235,0.0016452,0.00359541,0.00710435,4.29843,-13.7943,0.00365678,0,0,0,0.00183829,0.0014252,0.00318961,0.00681243
1,144.16,-26.2108,177.356,-0.225027,0.0210815,0.170673,0.00057598,0.000844063,0.0019176,0.00364523,142.501,-31.2693,96.8094,-0.120418,0.0223344,0.169231,0.000349127,0.000536134,0.00124624,0.00208955,143.687,-28.3071,18.2222,-0.0193715,0.0258029,0.173249,0.000290608,0.000488182,0.0011202,0.00169535,143.647,-29.2945,-62.6334,0.0826603,0.0230992,0.17014,0.000454225,0.000835176,0.00184674,0.00256136,4.29843,-13.7943,0.00365678,-0.000335946,-0.00683766,-0.0114377,0.000801504,0.000879619,0.00201347,0.00293841
2,144.16,-26.2108,177.356,-0.142698,0.0392981,0.116711,0.000550651,0.000810517,0.00183947,0.00349418,142.501,-31.2693,96.8094,-0.076195,0.0305177,0.117099,0.000336246,0.000519147,0.00120776,0.0020196,143.687,-28.3071,18.2222,-0.0109816,0.0210386,0.116272,0.000298776,0.000496976,0.00114034,0.00173752,143.647,-29.2945,-62.6334,0.0531517,0.0080641,0.113201,0.000444988,0.000814085,0.00180159,0.00249824,4.29843,-13.7943,0.00365678,0.000570558,-0.00092107,-0.0011103,0.000775607,0.000855045,0.00195744,0.002857
3,144.16,-26.2108,177.356,-0.210136,0.0219485,0.161088,0.000545542,0.000805531,0.0018269,0.00345653,142.501,-31.2693,96.8094,-0.113155,0.0205469,0.162713,0.000344085,0.000526846,0.00122519,0.00205629,143.687,-28.3071,18.2222,-0.0176319,0.0206971,0.161884,0.000305014,0.000508601,0.00116766,0.00177402,143.647,-29.2945,-62.6334,0.0744288,0.0148242,0.15879,0.000447201,0.000815682,0.00180734,0.00249926,4.29843,-13.7943,0.00365678,-0.000119561,-0.0044335,-0.00851749,0.000793313,0.000856065,0.00195881,0.00286223
4,144.16,-26.2108,177.356,-0.177286,-0.0652135,0.122474,0.000556225,0.000811545,0.00184136,0.00350157,142.501,-31.2693,96.8094,-0.0967484,-0.0298392,0.124354,0.000352464,0.000533813,0.00124143,0.00208708,143.687,-28.3071,18.2222,-0.0158393,0.00271522,0.123074,0.000306634,0.000514563,0.00117899,0.0017948,143.647,-29.2945,-62.6334,0.0587747,0.0326697,0.121411,0.000461644,0.000843641,0.00186912,0.00258091,4.29843,-13.7943,0.00365678,-0.00116543,-0.00374371,-0.00889348,0.000801221,0.000873819,0.00199835,0.00292202
5,144.16,-26.2108,177.356,-0.0691664,0.0519726,0.0481895,0.000558961,0.000812165,0.00184522,0.00351652,142.501,-31.2693,96.8094,-0.0379671,0.0341125,0.0556656,0.000364584,0.00055199,0.00128499,0.00216023,143.687,-28.3071,18.2222,-0.00422624,0.0198507,0.0538442,0.000302301,0.000506794,0.00116118,0.00175991,143.647,-29.2945,-62.6334,0.0186764,-0.00326399,0.0520174,0.000455959,0.000833126,0.00184533,0.00254722,4.29843,-13.7943,0.00365678,-0.00083499,-0.00422446,-0.00601479,0.000804066,0.000889546,0.00203678,0.00296943
6,144.16,-26.2108,177.356,-0.175937,0.0192925,0.123074,0.000534069,0.00077949,0.00177005,0.00337246,142.501,-31.2693,96.8094,-0.0953072,0.019734,0.128566,0.000366638,0.000561511,0.00130532,0.0021948,143.687,-28.3071,18.2222,-0.013826,0.0240105,0.125737,0.000303756,0.000503599,0.00115455,0.00176296,143.647,-29.2945,-62.6334,0.0561987,0.0219017,0.125684,0.000451621,0.000823299,0.00182464,0.0025174,4.29843,-13.7943,0.00365678,-0.000133481,-0.00483816,-0.00842293,0.000797287,0.000861801,0.00197184,0.00287802
7,144.16,-26.2108,177.356,-0.247028,0.00600549,0.176341,0.000560123,0.00081408,0.00184988,0.00352579,142.501,-31.2693,96.8094,-0.1343,0.0118188,0.180954,0.000486592,0.000738367,0.00171554,0.00289329,143.687,-28.3071,18.2222,-0.0218856,0.0286401,0.182979,0.000437693,0.00072592,0.00166503,0.00254371,143.647,-29.2945,-62.6334,0.0778252,0.0299701,0.177273,0.000494522,0.000897502,0.00198951,0.00274358,4.29843,-13.7943,0.00365678,-0.000104257,-0.00270802,-0.00704928,0.00082674,0.000892674,0.00204177,0.00298102
8,144.16,-26.2108,177.356,-0.171839,0.0359642,0.109981,0.00056698,0.000818428,0.00185938,0.00354361,142.501,-31.2693,96.8094,-0.0949349,0.0298713,0.130275,0.000469253,0.000710549,0.00165189,0.00278569,143.687,-28.3071,18.2222,-0.015555,0.0219879,0.124428,0.000413599,0.000687882,0.00157543,0.00241538,143.647,-29.2945,-62.6334,0.0485457,0.00975615,0.12981,0.000502019,0.000917028,0.00203006,0.00280185,4.29843,-13.7943,0.00365678,0.000635131,-0.00175656,-0.00241319,0.000848941,0.000907702,0.002077,0.00303191
9,144.16,-26.2108,177.356,-0.0971013,-0.0458652,0.0368817,0.000586269,0.000854304,0.00193954,0.00370172,142.501,-31.2693,96.8094,-0.0548193,-0.0200549,0.0535555,0.000366762,0.000566529,0.00131762,0.00220324,143.687,-28.3071,18.2222,-0.00917282,0.0138998,0.0553383,0.000316701,0.000525206,0.00120527,0.00183623,143.647,-29.2945,-62.6334,0.0172263,0.0342129,0.0544213,0.000466608,0.000860013,0.00190214,0.00263276,4.29843,-13.7943,0.00365678,-0.000405248,-0.00359823,-0.00916339,0.000818827,0.000879546,0.00201245,0.0029372
