"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
10,155.006,-19.8161,165.837,-0.176968,-0.0675508,0.134148,0.000496516,0.000721776,0.00169757,0.00314466,154.411,-18.8896,85.8346,-0.123008,-0.0223716,0.0796777,0.000387637,0.000590962,0.00142502,0.00233069,154.796,-18.553,6.03495,0.0253394,0.0113086,0.141418,0.000319086,0.000531221,0.00124845,0.00184832,153.56,-21.0926,-71.9133,0.0387168,0.0188479,0.0895778,0.00048224,0.000896231,0.00202929,0.00269502,5.06513,-15.1051,-0.00125831,0.000120561,-0.00352105,-0.00869107,0.000892594,0.000910112,0.00212783,0.00311851
11,155.006,-19.8161,165.837,0.0115444,-0.0548739,-0.035712,0.00052254,0.000759264,0.00178541,0.00330992,154.411,-18.8896,85.8346,-0.024753,-0.0255871,-0.0793407,0.000387918,0.00059093,0.00142564,0.00233808,154.796,-18.553,6.03495,0.031701,-0.00138165,-0.0208728,0.00030843,0.000514955,0.00121035,0.00179374,153.56,-21.0926,-71.9133,-0.0449256,-0.00544552,-0.0674442,0.000488741,0.000910154,0.00206114,0.00272145,5.06513,-15.1051,-0.00125831,-0.00072863,-0.00287602,-0.00257977,0.000906783,0.000901938,0.00210667,0.00308831
12,155.006,-19.8161,165.837,-0.250828,0.057948,0.194317,0.00051799,0.000755474,0.00177594,0.0032856,154.411,-18.8896,85.8346,-0.159467,0.0521571,0.160081,0.000386458,0.0005906,0.00142434,0.00232222,154.796,-18.553,6.03495,0.0226723,0.0427981,0.224358,0.000313544,0.000525014,0.001234,0.00181857,153.56,-21.0926,-71.9133,0.0728802,0.00221375,0.179906,0.000469389,0.000872973,0.00197775,0.00262496,5.06513,-15.1051,-0.00125831,0.000850661,-0.00132342,-0.00490008,0.000917123,0.000919108,0.00214742,0.00314414
13,155.006,-19.8161,165.837,-0.211202,0.0174723,0.162882,0.00051221,0.00074577,0.00175373,0.00324891,154.411,-18.8896,85.8346,-0.13878,0.0294646,0.130341,0.000380277,0.000580118,0.00139922,0.00228873,154.796,-18.553,6.03495,0.0212714,0.0319065,0.198653,0.000319838,0.000535189,0.00125673,0.00185898,153.56,-21.0926,-71.9133,0.0559344,0.00417483,0.149839,0.000492756,0.000914168,0.00207115,0.00275375,5.06513,-15.1051,-0.00125831,0.000851103,0.000639111,-0.00139581,0.00094627,0.000943389,0.00220367,0.00322444
14,155.006,-19.8161,165.837,-0.178365,-0.0176716,0.144165,0.000527453,0.000768385,0.00180642,0.00334255,154.411,-18.8896,85.8346,-0.121629,0.00765904,0.101972,0.000377435,0.000575564,0.00138853,0.00227395,154.796,-18.553,6.03495,0.0195638,0.0187644,0.1804,0.000323218,0.00054101,0.00127109,0.00187752,153.56,-21.0926,-71.9133,0.040604,0.0036991,0.134513,0.000493058,0.000916332,0.00207479,0.0027571,5.06513,-15.1051,-0.00125831,0.00143255,0.00124187,0.0001357,0.000934207,0.000928151,0.00216965,0.00318015
15,155.006,-19.8161,165.837,-0.0912368,-0.0331563,0.0734501,0.000522954,0.000763014,0.00179279,0.00331859,154.411,-18.8896,85.8346,-0.0757891,0.000172653,0.0181826,0.000414954,0.00063044,0.00152203,0.00249489,154.796,-18.553,6.03495,0.0180719,0.00898734,0.0995811,0.000340445,0.000569952,0.0013391,0.0019838,153.56,-21.0926,-71.9133,-0.00236034,-0.00144024,0.0535377,0.000499622,0.000924433,0.00209762,0.00277801,5.06513,-15.1051,-0.00125831,0.000470505,-0.000566061,-0.00221132,0.000925258,0.000928704,0.00217049,0.00318098
16,155.006,-19.8161,165.837,-0.162292,0.0160355,0.147606,0.000508093,0.000737838,0.00173699,0.00322035,154.411,-18.8896,85.8346,-0.110281,0.035836,0.0773547,0.000401596,0.000612873,0.00147836,0.00242297,154.796,-18.553,6.03495,0.0122459,0.0257754,0.174497,0.000320203,0.000534486,0.00125622,0.00185837,153.56,-21.0926,-71.9133,0.02532,-0.00401676,0.127157,0.000499154,0.000926486,0.0021001,0.00278843,5.06513,-15.1051,-0.00125831,0.00166336,0.000155341,-0.00169773,0.000918849,0.00090511,0.00211324,0.00309813
17,155.006,-19.8161,165.837,-0.120711,-0.119376,0.103355,0.000526113,0.000762694,0.0017955,0.00332946,154.411,-18.8896,85.8346,-0.0866891,-0.0440113,0.0198729,0.000385053,0.000589582,0.00142169,0.00232451,154.796,-18.553,6.03495,0.00893218,-0.00442074,0.119965,0.000311003,0.000519948,0.0012213,0.0018099,153.56,-21.0926,-71.9133,-0.00393701,0.0219541,0.0810189,0.000500922,0.000926915,0.00210159,0.00278476,5.06513,-15.1051,-0.00125831,0.000299557,-0.000490444,-0.00296264,0.000941261,0.000935742,0.00218511,0.00320469
18,155.006,-19.8161,165.837,-0.1034,0.0440207,0.0934689,0.000508469,0.000739785,0.00174032,0.00322598,154.411,-18.8896,85.8346,-0.0733669,0.0456574,-0.00328068,0.00038711,0.000589761,0.00142337,0.00233376,154.796,-18.553,6.03495,0.00775503,0.00865529,0.106631,0.00030646,0.000511811,0.00120217,0.00178103,153.56,-21.0926,-71.9133,-0.0152426,-0.0428373,0.0677107,0.000498125,0.00092226,0.00209026,0.00277829,5.06513,-15.1051,-0.00125831,0.00139271,0.000496211,0.000267732,0.000932848,0.000929081,0.00216874,0.00317845
19,155.006,-19.8161,165.837,0.0153614,-0.0450818,-0.0213682,0.000502433,0.000732807,0.00172188,0.00319291,154.411,-18.8896,85.8346,-0.0081815,-0.0119618,-0.125175,0.00038702,0.000590893,0.00142466,0.00233175,154.796,-18.553,6.03495,0.00866165,-0.0217927,-0.0133729,0.000314812,0.00052738,0.00123938,0.0018307,153.56,-21.0926,-71.9133,-0.0758908,-0.0380698,-0.0452738,0.000489856,0.000905782,0.00205316,0.00273102,5.06513,-15.1051,-0.00125831,9.25633e-05,0.0019692,0.00420084,0.000910582,0.00091671,0.0021423,0.00313623
