"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,155.675,-33.3465,173.747,0,0,0,0.000981092,0.0015232,0.00352865,0.00945922,154.231,-33.2532,104.349,0,0,0,0.000805637,0.00128323,0.00302397,0.00719805,153.775,-32.2891,33.6649,0,0,0,0.000916672,0.00158759,0.00366651,0.00774881,151.474,-32.3562,-35.6387,0,0,0,0.000892195,0.00162975,0.00370874,0.00674409,6.24767,-13.8138,-0.00458633,0,0,0,0.00227389,0.00169913,0.00379384,0.00786029
1,155.675,-33.3465,173.747,0.0893643,-0.0135943,-0.0842391,0.000512717,0.000752042,0.00173407,0.00327018,154.231,-33.2532,104.349,0.0538157,-0.0117772,-0.0823583,0.000401693,0.000611062,0.00144399,0.00240966,153.775,-32.2891,33.6649,0.0166562,-0.0113666,-0.0842421,0.000428434,0.000700537,0.00163702,0.00243045,151.474,-32.3562,-35.6387,-0.0174991,-0.0076637,-0.0825916,0.000432381,0.000772962,0.00176266,0.00225212,6.24767,-13.8138,-0.00458633,0.000842085,-0.000549771,0.00155866,0.000917856,0.000967151,0.0022081,0.00311027
2,155.675,-33.3465,173.747,0.0494853,0.00771746,-0.0544999,0.000503437,0.000740338,0.00170744,0.00321227,154.231,-33.2532,104.349,0.028519,0.00283311,-0.0506391,0.000310701,0.000474023,0.00111987,0.00186804,153.775,-32.2891,33.6649,0.00799029,-0.00258737,-0.0525293,0.000399335,0.000658501,0.00153699,0.00226979,151.474,-32.3562,-35.6387,-0.00981614,-0.00465416,-0.0531808,0.000419269,0.000747162,0.00170359,0.0021783,6.24767,-13.8138,-0.00458633,-0.000188672,-0.000496996,0.00143116,0.000950968,0.000980577,0.00223795,0.00315491
3,155.675,-33.3465,173.747,0.271506,0.0239357,-0.249396,0.000496155,0.000733059,0.00168987,0.0031825,154.231,-33.2532,104.349,0.159412,0.00421912,-0.243533,0.000310584,0.000473251,0.00111757,0.00186607,153.775,-32.2891,33.6649,0.0474818,-0.0131893,-0.251743,0.000402488,0.000661957,0.00154511,0.00228087,151.474,-32.3562,-35.6387,-0.0602063,-0.0225929,-0.244149,0.000414281,0.000737626,0.0016821,0.00215102,6.24767,-13.8138,-0.00458633,-0.000386684,-0.000774529,0.00517151,0.000955469,0.000987938,0.00225496,0.00317927
4,155.675,-33.3465,173.747,0.189331,0.0117934,-0.188932,0.000498752,0.000732645,0.00168935,0.00318457,154.231,-33.2532,104.349,0.109194,-0.000184097,-0.177508,0.00030125,0.000458521,0.00108378,0.00180623,153.775,-32.2891,33.6649,0.0317,-0.00852602,-0.187552,0.00038998,0.000639896,0.00149456,0.00221112,151.474,-32.3562,-35.6387,-0.0453506,-0.0166946,-0.188224,0.000430296,0.000765231,0.00174602,0.0022274,6.24767,-13.8138,-0.00458633,-0.000425061,-0.000648129,0.00367516,0.000941718,0.000974881,0.00222504,0.00313498
5,155.675,-33.3465,173.747,0.133793,-0.00490872,-0.148292,0.000512817,0.000753829,0.00173925,0.00326864,154.231,-33.2532,104.349,0.0762278,-0.00690083,-0.136634,0.000296425,0.000450983,0.00106557,0.00177618,153.775,-32.2891,33.6649,0.0221617,-0.00145956,-0.154309,0.000393167,0.000645843,0.00150732,0.00223612,151.474,-32.3562,-35.6387,-0.0336486,8.82739e-05,-0.155839,0.000435322,0.000776899,0.00177341,0.00225958,6.24767,-13.8138,-0.00458633,0.00103577,-0.0002122,0.00319433,0.000932942,0.0009628,0.00219651,0.00310027
6,155.675,-33.3465,173.747,0.100329,-0.0139015,-0.126481,0.000506334,0.000750111,0.00172897,0.00324485,154.231,-33.2532,104.349,0.0555346,-0.011397,-0.114977,0.000299048,0.00045597,0.00107726,0.00179689,153.775,-32.2891,33.6649,0.0147314,-0.00100054,-0.140473,0.000410657,0.000672495,0.00157048,0.00233275,151.474,-32.3562,-35.6387,-0.030225,0.00355501,-0.133772,0.00042937,0.00076592,0.00174647,0.00223367,6.24767,-13.8138,-0.00458633,0.000424738,0.00103926,0.00471878,0.00094473,0.000977585,0.00222982,0.00314096
7,155.675,-33.3465,173.747,0.0518216,0.0324556,-0.0955562,0.000515918,0.000762057,0.00175644,0.00330456,154.231,-33.2532,104.349,0.0259983,0.0191184,-0.0828731,0.00030223,0.000461344,0.00108968,0.00181011,153.775,-32.2891,33.6649,0.00484164,0.0121839,-0.11975,0.000408792,0.000672202,0.00156987,0.00232327,151.474,-32.3562,-35.6387,-0.0230965,0.00106236,-0.100182,0.000433588,0.000770934,0.00175794,0.00224786,6.24767,-13.8138,-0.00458633,-0.000623741,-0.00378581,-0.00364352,0.000915992,0.000948281,0.00216367,0.00305265
8,155.675,-33.3465,173.747,0.0911747,0.00743499,-0.128827,0.000504593,0.000745369,0.00171799,0.00323326,154.231,-33.2532,104.349,0.0480663,0.00554127,-0.112932,0.000307014,0.00046779,0.00110501,0.00183338,153.775,-32.2891,33.6649,0.0123404,0.0092621,-0.152117,0.00039757,0.00064934,0.0015175,0.00225055,151.474,-32.3562,-35.6387,-0.0332444,0.00164962,-0.127049,0.000420322,0.000748013,0.00170579,0.00218229,6.24767,-13.8138,-0.00458633,0.000135954,0.000327919,0.00365222,0.000904838,0.000942587,0.00215154,0.00303479
9,155.675,-33.3465,173.747,-0.0470503,0.05024,-0.012431,0.000515179,0.0007602,0.0017535,0.00329565,154.231,-33.2532,104.349,-0.0369535,0.0387231,0.00437079,0.000312795,0.000475995,0.00112431,0.00187386,153.775,-32.2891,33.6649,-0.0141006,0.0286534,-0.0469435,0.000409033,0.000667496,0.00156009,0.00231572,151.474,-32.3562,-35.6387,-0.00497903,0.0139966,-0.0118441,0.000427792,0.000762505,0.00173958,0.00222114,6.24767,-13.8138,-0.00458633,-0.000102329,-0.00220151,-0.00144226,0.000917983,0.000962988,0.00219603,0.00309958
