"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,152.884,-17.4847,173.667,0,0,0,0.000950842,0.00152962,0.00353068,0.00946968,150.724,-17.5112,104.232,0,0,0,0.000815201,0.00132842,0.00313379,0.00740865,150.034,-17.8199,33.4597,0,0,0,0.000921618,0.00163591,0.00377899,0.00799649,146.732,-17.8222,-35.7795,0,0,0,0.000917777,0.00169307,0.00385199,0.00702723,4.63655,-13.8735,-0.00123898,0,0,0,0.00217378,0.00166066,0.00371303,0.00766289
1,152.884,-17.4847,173.667,0.0422226,0.0835777,-0.0399584,0.00050417,0.000748351,0.00172057,0.00324382,150.724,-17.5112,104.232,0.0249573,0.0514266,-0.0297822,0.000324857,0.000497185,0.00117366,0.00194359,150.034,-17.8199,33.4597,0.00668289,0.01788,-0.0358337,0.000385313,0.000638094,0.00148648,0.00221326,146.732,-17.8222,-35.7795,-0.00860674,-0.0174902,-0.0307816,0.000426842,0.000766266,0.00174655,0.00223591,4.63655,-13.8735,-0.00123898,0.00056063,0.00257435,0.00731761,0.0008835,0.000936815,0.00213612,0.00300103
2,152.884,-17.4847,173.667,0.0956369,0.0382725,-0.105913,0.00051318,0.000765759,0.00176004,0.00331018,150.724,-17.5112,104.232,0.0566154,0.019529,-0.0905704,0.00034798,0.000535924,0.00126525,0.00209245,150.034,-17.8199,33.4597,0.0142956,0.00277777,-0.105518,0.000392093,0.000650381,0.00151519,0.00224876,146.732,-17.8222,-35.7795,-0.0208986,-0.0155208,-0.0953021,0.000435302,0.000779891,0.00177649,0.00227479,4.63655,-13.8735,-0.00123898,-0.00102743,-0.0054217,-0.0059688,0.000919362,0.000974196,0.00222142,0.00312034
3,152.884,-17.4847,173.667,-0.0472045,0.0285646,0.0115126,0.000511352,0.00076087,0.00174787,0.00329238,150.724,-17.5112,104.232,-0.0299914,0.0204541,0.0344396,0.000370005,0.00056987,0.00134447,0.00222859,150.034,-17.8199,33.4597,-0.0133754,0.0150595,0.0129003,0.000415596,0.000686394,0.00159875,0.00237747,146.732,-17.8222,-35.7795,0.010933,0.00472806,0.0203499,0.000435032,0.000779161,0.00177553,0.00227817,4.63655,-13.8735,-0.00123898,3.79759e-05,0.00060154,-0.000507478,0.000919397,0.000969474,0.00221058,0.0031049
4,152.884,-17.4847,173.667,-0.0852239,-0.0356448,0.0249254,0.00052705,0.000782615,0.0017982,0.00340008,150.724,-17.5112,104.232,-0.0542708,-0.0200898,0.0545289,0.000313207,0.000482881,0.00113973,0.00188425,150.034,-17.8199,33.4597,-0.0226874,-0.000703265,0.0222152,0.000377155,0.000625009,0.00145546,0.00216076,146.732,-17.8222,-35.7795,0.0173168,0.0141983,0.030084,0.000426415,0.000764077,0.00174197,0.00223696,4.63655,-13.8735,-0.00123898,-0.000580197,-0.00389715,-0.00837818,0.000905668,0.000960841,0.00219135,0.00308154
5,152.884,-17.4847,173.667,-0.0669909,0.074208,0.0213525,0.000520779,0.000773818,0.00177897,0.00336317,150.724,-17.5112,104.232,-0.043272,0.0502801,0.0555093,0.00030996,0.000476167,0.00112391,0.00186198,150.034,-17.8199,33.4597,-0.0179683,0.0316395,0.0160523,0.00038545,0.000638531,0.0014875,0.00220782,146.732,-17.8222,-35.7795,0.0165804,0.011782,0.0251151,0.000428909,0.000766821,0.00174804,0.00224754,4.63655,-13.8735,-0.00123898,0.00111009,0.00262457,0.0043204,0.000900507,0.000961365,0.00219417,0.00308324
6,152.884,-17.4847,173.667,-0.0323479,0.00234887,-0.0203537,0.000526151,0.000779418,0.00179169,0.00339019,150.724,-17.5112,104.232,-0.0236455,0.00489266,0.0192579,0.000301955,0.000466103,0.00109954,0.00181701,150.034,-17.8199,33.4597,-0.0123534,0.0120166,-0.0249192,0.000381128,0.000632081,0.00147197,0.0021808,146.732,-17.8222,-35.7795,0.00738164,0.017547,-0.0126627,0.000424026,0.000760302,0.00173291,0.0022255,4.63655,-13.8735,-0.00123898,0.000383676,-0.000102251,-0.00196157,0.000872013,0.000943854,0.00215444,0.00302685
7,152.884,-17.4847,173.667,-0.185304,0.0275439,0.111766,0.000523506,0.000772818,0.00177671,0.00336124,150.724,-17.5112,104.232,-0.117018,0.0197704,0.149122,0.000302401,0.000465999,0.00109926,0.00181776,150.034,-17.8199,33.4597,-0.0416413,0.017864,0.101758,0.000376799,0.000630632,0.00146597,0.00216158,146.732,-17.8222,-35.7795,0.0391944,0.0139652,0.112216,0.000427049,0.000763538,0.00174049,0.00222402,4.63655,-13.8735,-0.00123898,0.000810377,-0.000184978,-0.00267357,0.000884429,0.000947784,0.00216207,0.0030361
8,152.884,-17.4847,173.667,-0.0932418,-0.0028245,0.0268767,0.000528306,0.000782126,0.00179724,0.00339995,150.724,-17.5112,104.232,-0.0638981,0.00156118,0.066498,0.000315365,0.000485731,0.00114652,0.00189456,150.034,-17.8199,33.4597,-0.0245681,0.0124262,0.0212627,0.000383852,0.000642266,0.00149296,0.00219101,146.732,-17.8222,-35.7795,0.0191096,0.0189917,0.0442377,0.000426306,0.000764162,0.00174037,0.00222963,4.63655,-13.8735,-0.00123898,-0.000505229,-0.00284701,-0.0064465,0.000883067,0.000936658,0.00213733,0.00300549
9,152.884,-17.4847,173.667,-0.0328594,0.0358755,-0.01207,0.000536114,0.000795759,0.00182833,0.00345342,150.724,-17.5112,104.232,-0.030432,0.0247664,0.0240152,0.000316934,0.000488417,0.00115174,0.00190791,150.034,-17.8199,33.4597,-0.0128258,0.0210772,-0.0197814,0.000388872,0.000647447,0.00150484,0.0022231,146.732,-17.8222,-35.7795,0.00751225,0.0100794,0.0116596,0.000420822,0.000753898,0.00171865,0.00219899,4.63655,-13.8735,-0.00123898,-0.000224951,0.000750516,-8.53517e-05,0.000875102,0.000929912,0.00212168,0.00298428
