"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,159.459,-22.854,218.607,0,0,0,0.00102227,0.00170608,0.00390081,0.0111695,157.87,-22,157.617,0,0,0,0.000868826,0.00143442,0.00342449,0.00850926,156.045,-20.6679,97.8274,0,0,0,0.000867533,0.00145686,0.00353634,0.0076335,156.351,-23.3399,37.3962,0,0,0,0.000950927,0.00172874,0.00412109,0.00815101,5.66106,-15.6208,0.0133713,0,0,0,0.00254317,0.00199132,0.00445415,0.00879994
1,159.459,-22.854,218.607,-0.442076,-0.0298416,0.315453,0.000521415,0.000791008,0.00178181,0.00358098,157.87,-22,157.617,-0.321236,-0.0204379,0.307288,0.000443796,0.000666358,0.00157995,0.00276491,156.045,-20.6679,97.8274,-0.198371,-0.0108939,0.304637,0.000336216,0.000517724,0.00126163,0.00191446,156.351,-23.3399,37.3962,-0.0730734,-0.000397489,0.31704,0.000345064,0.000571302,0.00136135,0.00190192,5.66106,-15.6208,0.0133713,-0.00031221,-0.000999431,-0.00709024,0.000974759,0.00106948,0.00244328,0.00328719
2,159.459,-22.854,218.607,0.176181,0.000936102,-0.10171,0.000513912,0.000784275,0.00176432,0.00356228,157.87,-22,157.617,0.120175,-0.00702315,-0.114081,0.000421029,0.000633169,0.00150073,0.0026258,156.045,-20.6679,97.8274,0.0766481,-0.0127606,-0.11744,0.000306852,0.000474517,0.00115755,0.00175375,156.351,-23.3399,37.3962,0.0339392,-0.0113537,-0.0838807,0.000340087,0.000560458,0.00133718,0.00186583,5.66106,-15.6208,0.0133713,-0.00142805,-0.00107734,-0.00126926,0.000966784,0.00106688,0.00243809,0.00328388
3,159.459,-22.854,218.607,-0.418794,0.00935673,0.305403,0.000527823,0.000797708,0.00179488,0.00362476,157.87,-22,157.617,-0.314272,0.00251276,0.289936,0.000435706,0.00065684,0.00155588,0.00272725,156.045,-20.6679,97.8274,-0.190186,-0.00212054,0.279951,0.000304109,0.000471748,0.00114988,0.00174319,156.351,-23.3399,37.3962,-0.0649555,0.00119243,0.329864,0.000322766,0.00053641,0.00128061,0.0017849,5.66106,-15.6208,0.0133713,-0.000760035,-0.00643245,-0.0141862,0.000974361,0.00108714,0.00248469,0.00334211
4,159.459,-22.854,218.607,0.201875,0.0272005,-0.119885,0.000528641,0.000798934,0.00179764,0.003618,157.87,-22,157.617,0.128136,0.00881675,-0.132221,0.000434568,0.000652635,0.00154558,0.00271213,156.045,-20.6679,97.8274,0.0864997,-0.0072584,-0.141883,0.000303802,0.000474431,0.00115626,0.00174591,156.351,-23.3399,37.3962,0.0420145,-0.0113952,-0.0685855,0.000328628,0.000545581,0.00130307,0.00181374,5.66106,-15.6208,0.0133713,-0.000824422,-0.00200488,-0.00246219,0.000964062,0.00107337,0.00245301,0.0033002
5,159.459,-22.854,218.607,-0.65657,-0.0965655,0.46257,0.00052114,0.000790175,0.00177997,0.00358167,157.87,-22,157.617,-0.494832,-0.0764107,0.447001,0.000438475,0.000659489,0.00156213,0.00273739,156.045,-20.6679,97.8274,-0.298673,-0.0526397,0.427206,0.000308751,0.000480894,0.00117223,0.0017695,156.351,-23.3399,37.3962,-0.103138,-0.0174223,0.520896,0.00033495,0.000550807,0.00131407,0.00183472,5.66106,-15.6208,0.0133713,-0.000419228,-0.00592308,-0.017959,0.000948772,0.00107398,0.00245651,0.0033028
6,159.459,-22.854,218.607,0.252516,0.0192506,-0.156815,0.000535974,0.000811644,0.00182772,0.00368318,157.87,-22,157.617,0.158837,0.000779795,-0.165562,0.000449703,0.000680411,0.00161153,0.00282412,156.045,-20.6679,97.8274,0.106454,-0.0174064,-0.185399,0.000307286,0.000480086,0.00117061,0.00176571,156.351,-23.3399,37.3962,0.0516291,-0.0185381,-0.0672544,0.000330119,0.000546801,0.00130623,0.00181902,5.66106,-15.6208,0.0133713,-0.000893706,-0.00116897,0.000877972,0.000925666,0.00105312,0.00240986,0.0032341
7,159.459,-22.854,218.607,-0.431361,-0.0311287,0.304517,0.000535381,0.000810073,0.00182229,0.00368089,157.87,-22,157.617,-0.333985,-0.0319931,0.295472,0.000445069,0.000665842,0.00157844,0.00276342,156.045,-20.6679,97.8274,-0.200922,-0.0341441,0.266362,0.000302388,0.000472134,0.00115121,0.0017376,156.351,-23.3399,37.3962,-0.0656923,-0.0145143,0.408796,0.000342806,0.000566267,0.00135216,0.0018809,5.66106,-15.6208,0.0133713,-0.00072096,-0.00512943,-0.0135222,0.00095242,0.00106373,0.00243065,0.00326309
8,159.459,-22.854,218.607,0.0891208,-0.0353372,-0.0505263,0.000506072,0.000763963,0.00172131,0.00347071,157.87,-22,157.617,0.043888,-0.0415724,-0.0556245,0.000446566,0.000671156,0.00158995,0.00278936,156.045,-20.6679,97.8274,0.0301973,-0.0461333,-0.0803355,0.000313029,0.000483258,0.00117773,0.00178546,156.351,-23.3399,37.3962,0.0227132,-0.0280483,0.0819826,0.000333496,0.000554261,0.00132346,0.00184317,5.66106,-15.6208,0.0133713,9.20982e-05,0.00272077,0.00241189,0.000948426,0.00105909,0.00242066,0.00324925
9,159.459,-22.854,218.607,-0.139292,0.00916844,0.0976685,0.000510643,0.000769412,0.00173288,0.00349054,157.87,-22,157.617,-0.117882,-0.00320705,0.103681,0.00046146,0.00069043,0.00163528,0.0028723,156.045,-20.6679,97.8274,-0.0738524,-0.0217679,0.0661587,0.000376197,0.000584858,0.00142613,0.00215375,156.351,-23.3399,37.3962,-0.0172888,-0.0115449,0.250581,0.000407193,0.000674788,0.00161293,0.00224334,5.66106,-15.6208,0.0133713,0.000320456,-0.00125109,-0.00420452,0.000938138,0.00104783,0.00239551,0.00321698
10,159.459,-22.854,218.607,0.436801,0.0451472,-0.300896,0.000515144,0.000775737,0.00174687,0.0035176,157.87,-22,157.617,0.299377,0.014685,-0.282955,0.000472956,0.000712493,0.00168795,0.00295291,156.045,-20.6679,97.8274,0.181853,-0.0177041,-0.315838,0.000348261,0.000542449,0.00132254,0.00199562,156.351,-23.3399,37.3962,0.0792821,-0.0226398,-0.110615,0.000381415,0.000636607,0.00152194,0.00211294,5.66106,-15.6208,0.0133713,-0.000508664,0.0026693,0.00758681,0.000962756,0.00105696,0.00241276,0.00324836
11,159.459,-22.854,218.607,-0.38628,-0.0283729,0.253924,0.000521589,0.000789791,0.00178023,0.00358726,157.87,-22,157.617,-0.291388,-0.0356238,0.275172,0.000448561,0.000680095,0.0016119,0.00281626,156.045,-20.6679,97.8274,-0.186135,-0.0444219,0.230504,0.000306083,0.000472633,0.00115232,0.00174747,156.351,-23.3399,37.3962,-0.0614337,-0.0247751,0.456949,0.000362311,0.000597645,0.00142792,0.00199226,5.66106,-15.6208,0.0133713,-0.00134134,-0.00646516,-0.0154639,0.000938126,0.0010401,0.00237535,0.00319809
12,159.459,-22.854,218.607,-0.0553628,0.0913058,0.0409787,0.000519644,0.000790197,0.00177975,0.00358141,157.87,-22,157.617,-0.0525725,0.0526645,0.0761687,0.00043234,0.000651106,0.00154341,0.00270398,156.045,-20.6679,97.8274,-0.0356931,0.0141373,0.0285296,0.000316254,0.000492443,0.00120051,0.00181403,156.351,-23.3399,37.3962,-0.00155065,0.00272743,0.272535,0.000351145,0.0005796,0.00138452,0.00192894,5.66106,-15.6208,0.0133713,0.00129719,0.00230186,0.00549269,0.000931593,0.00104357,0.00238479,0.00320457
