"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,161.623,-35.5911,212.103,0,0,0,0.000948657,0.00153889,0.00368461,0.010643,159.736,-33.8042,152.788,0,0,0,0.000830637,0.00134362,0.00333543,0.00843997,159.418,-30.7954,94.5317,0,0,0,0.000844346,0.00139183,0.00355441,0.00771829,158.644,-33.3949,36.1985,0,0,0,0.00093655,0.00166057,0.00414312,0.00824856,6.4023,-15.4133,0.015477,0,0,0,0.00257225,0.00193068,0.00448528,0.00903334
1,161.623,-35.5911,212.103,-0.0143773,0.0599492,0.0164774,0.000532152,0.000764868,0.00178417,0.00364606,159.736,-33.8042,152.788,-0.0105303,0.0411847,0.0091729,0.000438875,0.00063461,0.00155954,0.00278792,159.418,-30.7954,94.5317,-0.00619089,0.0305253,0.0131642,0.000313906,0.000462729,0.00118488,0.0018109,158.644,-33.3949,36.1985,-0.00191245,0.0190069,0.0183785,0.000313602,0.000495101,0.00123511,0.0017357,6.4023,-15.4133,0.015477,0.00112742,0.000144374,0.000656306,0.000961959,0.000988716,0.00234792,0.00321716
2,161.623,-35.5911,212.103,-0.0186552,-0.0493078,-0.00505115,0.000508056,0.000738712,0.00172521,0.00352434,159.736,-33.8042,152.788,-0.0151976,-0.0388647,-0.00524085,0.000472135,0.000685372,0.001684,0.00300419,159.418,-30.7954,94.5317,-0.0105797,-0.030651,-0.00543663,0.000315594,0.000465359,0.00119171,0.00181949,158.644,-33.3949,36.1985,-0.00656003,-0.0180469,-0.000933669,0.000311304,0.000493241,0.0012303,0.00173047,6.4023,-15.4133,0.015477,-0.000835239,-0.00375206,-0.00802066,0.000935337,0.000984094,0.00233821,0.00320157
3,161.623,-35.5911,212.103,-0.205535,-0.0543138,0.129784,0.000513676,0.000750501,0.00175394,0.00357403,159.736,-33.8042,152.788,-0.149243,-0.0388837,0.123063,0.000448284,0.000652305,0.00160381,0.00285256,159.418,-30.7954,94.5317,-0.0918616,-0.0149853,0.131304,0.00031364,0.000465173,0.00119118,0.00181292,158.644,-33.3949,36.1985,-0.0351715,0.00749586,0.136052,0.000309081,0.000490379,0.00122302,0.00171879,6.4023,-15.4133,0.015477,0.000409192,-0.00283984,-0.00866077,0.000922847,0.000969946,0.00230274,0.00315979
4,161.623,-35.5911,212.103,-0.0832243,-0.0650697,0.0368591,0.000521664,0.00075903,0.00177169,0.00362893,159.736,-33.8042,152.788,-0.0617819,-0.0482927,0.0363571,0.00047791,0.000697304,0.00171499,0.00304776,159.418,-30.7954,94.5317,-0.0384487,-0.0321747,0.0380842,0.000390874,0.000577635,0.00147939,0.00225624,158.644,-33.3949,36.1985,-0.0169878,-0.0117081,0.0435439,0.000377614,0.000600545,0.00149716,0.00210259,6.4023,-15.4133,0.015477,0.000621825,-0.00203871,-0.00675778,0.000945961,0.000996327,0.0023654,0.00324012
5,161.623,-35.5911,212.103,-0.0384215,0.00733194,0.018895,0.000518827,0.000758551,0.00176911,0.00362304,159.736,-33.8042,152.788,-0.0302374,0.0032841,0.0140915,0.000482636,0.000703665,0.0017282,0.00308509,159.418,-30.7954,94.5317,-0.0183921,0.00343424,0.0185646,0.000369799,0.000544744,0.00139488,0.00213092,158.644,-33.3949,36.1985,-0.00869977,0.00598146,0.0257257,0.000375993,0.000594549,0.00148188,0.00208724,6.4023,-15.4133,0.015477,0.000370029,-0.000360751,-0.000989544,0.000965155,0.00100313,0.00238193,0.00326925
6,161.623,-35.5911,212.103,-0.00157111,-0.00432627,-0.0168407,0.000532739,0.000781591,0.00182444,0.00373235,159.736,-33.8042,152.788,-0.00335025,-0.00403799,-0.0148756,0.000451486,0.000651845,0.00160303,0.00285872,159.418,-30.7954,94.5317,-0.00229026,-0.00643286,-0.0151772,0.000329801,0.000488076,0.00124983,0.00190587,158.644,-33.3949,36.1985,-0.00366838,-0.00544851,-0.0112109,0.000319397,0.000507441,0.00126647,0.00177763,6.4023,-15.4133,0.015477,-0.00077719,-0.00404922,-0.00731216,0.000952226,0.000990197,0.00235166,0.00322462
7,161.623,-35.5911,212.103,-0.241171,-0.00951716,0.158232,0.000526052,0.000767932,0.0017939,0.00366283,159.736,-33.8042,152.788,-0.175415,-0.00370043,0.152817,0.000441513,0.000642965,0.00157967,0.00281654,159.418,-30.7954,94.5317,-0.10699,0.00548858,0.156495,0.00032726,0.000488551,0.00125126,0.00189877,158.644,-33.3949,36.1985,-0.0405583,0.0156979,0.159876,0.000318827,0.000504492,0.00125887,0.0017674,6.4023,-15.4133,0.015477,-6.98473e-05,-0.00488541,-0.0124382,0.000940554,0.000991289,0.00235822,0.00322413
8,161.623,-35.5911,212.103,0.0628471,0.0575914,-0.0451974,0.000514027,0.000744005,0.00173379,0.00355664,159.736,-33.8042,152.788,0.042859,0.0395707,-0.0481763,0.000446569,0.000653926,0.00160763,0.00285425,159.418,-30.7954,94.5317,0.0281963,0.0209413,-0.0489852,0.000313284,0.000463181,0.00118644,0.00181087,158.644,-33.3949,36.1985,0.00973916,0.00725087,-0.0440554,0.000318869,0.000503223,0.00125507,0.00176375,6.4023,-15.4133,0.015477,0.000134642,-0.000696979,0.000282926,0.000932214,0.00099029,0.00235545,0.00321873
9,161.623,-35.5911,212.103,-0.135817,-0.0849708,0.0802317,0.00051491,0.000754096,0.00175857,0.00360338,159.736,-33.8042,152.788,-0.0988229,-0.058493,0.076686,0.0004482,0.000649429,0.00159647,0.00284663,159.418,-30.7954,94.5317,-0.0586448,-0.0334788,0.0803186,0.000315185,0.000470304,0.00120494,0.00183083,158.644,-33.3949,36.1985,-0.0211487,-0.00637965,0.0801175,0.000306962,0.000490105,0.00122182,0.001714,6.4023,-15.4133,0.015477,0.000462602,-0.0020618,-0.00636024,0.000968443,0.00100095,0.00237956,0.00325677
