"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
10,158.862,-30.2095,207.209,0.270208,0.0155665,-0.05601,0.000484686,0.000704189,0.00164304,0.00328361,154.748,-29.098,146.588,0.143613,-0.0128401,-0.107089,0.000428683,0.000627496,0.00152934,0.00269973,154.12,-25.9317,88.9173,0.0843041,-0.0405517,-0.0341799,0.000336909,0.000506901,0.00127317,0.00194246,153.826,-29.4699,32.1244,0.0272484,0.00548084,-0.172886,0.000338664,0.000541058,0.00132866,0.0018499,4.55931,-16.8579,0.00151202,-0.000632241,0.000795499,0.0042929,0.000971188,0.00101593,0.00240089,0.0032565
11,158.862,-30.2095,207.209,0.167987,0.00686038,0.0375125,0.000477218,0.000695505,0.00162172,0.00323938,154.748,-29.098,146.588,0.0726019,-0.0126293,-0.0127735,0.000443083,0.000651201,0.00158685,0.00279839,154.12,-25.9317,88.9173,0.0395852,-0.0389254,0.0534121,0.000311691,0.00047107,0.00118335,0.00179904,153.826,-29.4699,32.1244,0.00914367,0.0198455,-0.0805218,0.000317429,0.000512018,0.00125755,0.00174968,4.55931,-16.8579,0.00151202,0.00133847,0.00612214,0.00975411,0.000985742,0.00101845,0.0024065,0.00326383
12,158.862,-30.2095,207.209,0.162436,-0.00462293,0.0464853,0.000496028,0.000724077,0.00168738,0.00337625,154.748,-29.098,146.588,0.0705805,-0.0265623,-0.00533147,0.000460336,0.000677874,0.00165333,0.00289655,154.12,-25.9317,88.9173,0.0350054,-0.0529261,0.0585901,0.000386834,0.000581205,0.00146025,0.00222767,153.826,-29.4699,32.1244,0.00223191,0.0114419,-0.0674232,0.000368755,0.000593605,0.00145768,0.00203245,4.55931,-16.8579,0.00151202,-0.000738097,0.00164475,0.00278388,0.000953589,0.0010029,0.00237352,0.00321561
13,158.862,-30.2095,207.209,0.160898,0.0767518,0.0642667,0.000505659,0.000739592,0.00172261,0.00345294,154.748,-29.098,146.588,0.075447,0.0312909,0.0131337,0.00044385,0.000653863,0.00159334,0.0028063,154.12,-25.9317,88.9173,0.035367,-0.0130972,0.0676383,0.000335307,0.000506787,0.00127345,0.00193297,153.826,-29.4699,32.1244,0.00187439,0.0419758,-0.0435215,0.000343904,0.000554278,0.00136078,0.00189553,4.55931,-16.8579,0.00151202,0.000784282,0.00247693,0.00646408,0.000943739,0.0010024,0.00237291,0.00321415
14,158.862,-30.2095,207.209,0.203613,0.0985522,0.0350938,0.000509113,0.000739097,0.00172193,0.00345487,154.748,-29.098,146.588,0.111546,0.043532,-0.00713897,0.000430107,0.000625904,0.00152565,0.00269111,154.12,-25.9317,88.9173,0.0535029,-0.0121683,0.034753,0.00032396,0.00048773,0.00122502,0.00186506,153.826,-29.4699,32.1244,0.00497502,0.040926,-0.0649729,0.000324938,0.000523706,0.00128598,0.00179049,4.55931,-16.8579,0.00151202,0.000176642,0.00155092,0.00707424,0.000957167,0.0010003,0.0023656,0.00321081
15,158.862,-30.2095,207.209,0.233485,-0.0501603,-0.00462726,0.000508731,0.000738446,0.00172204,0.0034442,154.748,-29.098,146.588,0.139811,-0.0682653,-0.02925,0.000442031,0.000646663,0.00157562,0.00278137,154.12,-25.9317,88.9173,0.064668,-0.0927676,0.0031818,0.000321409,0.000483171,0.00121404,0.00185184,153.826,-29.4699,32.1244,0.00496031,0.00284429,-0.0853394,0.000323788,0.000519912,0.00127591,0.00178119,4.55931,-16.8579,0.00151202,0.000273525,0.00597654,0.0100213,0.00095322,0.00100607,0.00237982,0.00322506
16,158.862,-30.2095,207.209,0.0425979,-0.0122963,0.124631,0.000484859,0.000708708,0.00165122,0.003303,154.748,-29.098,146.588,0.0129131,-0.0436956,0.109884,0.000433935,0.000633793,0.00154524,0.00272748,154.12,-25.9317,88.9173,-0.0178641,-0.0760812,0.128353,0.000310841,0.000465103,0.00116806,0.0017853,153.826,-29.4699,32.1244,-0.0273007,0.0186752,0.0545131,0.00031036,0.000499259,0.00122572,0.00170784,4.55931,-16.8579,0.00151202,-0.000147994,0.00482747,0.00467737,0.0009666,0.00102389,0.00242397,0.00328451
17,158.862,-30.2095,207.209,0.339432,0.0771985,-0.085286,0.00049008,0.000714465,0.00166465,0.00333324,154.748,-29.098,146.588,0.230374,0.0151624,-0.0844818,0.000437492,0.000643046,0.00156733,0.00276388,154.12,-25.9317,88.9173,0.107981,-0.0453151,-0.0836313,0.00031729,0.000476397,0.00119596,0.00182446,153.826,-29.4699,32.1244,0.0152492,0.03249,-0.140528,0.000312904,0.000502715,0.00123329,0.00171969,4.55931,-16.8579,0.00151202,0.00108133,0.00756262,0.0185099,0.000945127,0.00100908,0.00238788,0.00323457
18,158.862,-30.2095,207.209,0.0778738,-0.0234947,0.068379,0.000496443,0.000723527,0.00168823,0.00336963,154.748,-29.098,146.588,0.0513465,-0.0592912,0.0800368,0.000441602,0.000645992,0.00157454,0.00277919,154.12,-25.9317,88.9173,-0.00780245,-0.097929,0.0663865,0.000312718,0.000470349,0.0011812,0.00179902,153.826,-29.4699,32.1244,-0.0307806,0.0113812,0.0206987,0.000307769,0.000495012,0.00121559,0.00169213,4.55931,-16.8579,0.00151202,-0.000386015,-0.000198904,-0.00303676,0.000941292,0.0010001,0.0023638,0.00320394
19,158.862,-30.2095,207.209,0.232427,-0.00592195,-0.0407562,0.000496846,0.00072513,0.00169273,0.0033743,154.748,-29.098,146.588,0.166071,-0.0537351,-0.0212615,0.000448671,0.000657188,0.00160056,0.00283171,154.12,-25.9317,88.9173,0.0550794,-0.103281,-0.0502871,0.000306335,0.000460973,0.00115786,0.00176177,153.826,-29.4699,32.1244,-0.0118552,0.00867261,-0.0831546,0.000312021,0.000504377,0.00123863,0.00171634,4.55931,-16.8579,0.00151202,-0.000444113,0.00298375,0.00545985,0.000942545,0.000986296,0.00233114,0.00316032
