"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
0,150.946,-27.9977,173.514,0,0,0,0.00125084,0.00194164,0.00442153,0.0118251,150.808,-30.2185,93.5155,0,0,0,0.000905198,0.0014537,0.00342447,0.00806738,152.073,-27.8974,13.6178,0,0,0,0.00100943,0.00182615,0.00415394,0.00897329,151.487,-29.5764,-67.238,0,0,0,0.000807849,0.00161796,0.00353493,0.0067947,4.86599,-14.141,0.0013414,0,0,0,0.00198299,0.00146625,0.0032837,0.00704411
1,150.946,-27.9977,173.514,0.0397538,0.0221922,-0.0399788,0.000531826,0.000777233,0.00176962,0.0033318,150.808,-30.2185,93.5155,0.0206717,0.0120873,-0.0369307,0.000400984,0.000608941,0.00143378,0.00236759,152.073,-27.8974,13.6178,0.00100752,3.93924e-05,-0.0353432,0.000319405,0.000534034,0.00122569,0.00185077,151.487,-29.5764,-67.238,-0.0196328,-0.0115415,-0.0330185,0.000479866,0.00088101,0.0019569,0.0026242,4.86599,-14.141,0.0013414,-0.00129834,-0.00340293,-0.00370793,0.000885521,0.000901337,0.00206061,0.00300985
2,150.946,-27.9977,173.514,0.181725,-0.0535303,-0.152346,0.000521804,0.00075855,0.00172863,0.00325871,150.808,-30.2185,93.5155,0.0947658,-0.0398408,-0.150507,0.000400979,0.000610796,0.00143803,0.00237126,152.073,-27.8974,13.6178,0.00898273,-0.0280663,-0.148907,0.000324721,0.000539296,0.00123847,0.00187535,151.487,-29.5764,-67.238,-0.0818891,-0.0174198,-0.150401,0.00048236,0.000889622,0.00197539,0.00265141,4.86599,-14.141,0.0013414,-0.000912627,0.00496959,0.00961868,0.000882299,0.000889165,0.0020304,0.00297112
3,150.946,-27.9977,173.514,0.252945,-0.0398588,-0.21823,0.000515864,0.000749231,0.00170781,0.00321814,150.808,-30.2185,93.5155,0.132379,-0.0373481,-0.216744,0.000398427,0.000606945,0.00142885,0.00235483,152.073,-27.8974,13.6178,0.0116257,-0.038539,-0.218161,0.000327316,0.000544243,0.00124944,0.00189217,151.487,-29.5764,-67.238,-0.114726,-0.0401091,-0.221716,0.0004862,0.000890586,0.00197877,0.00266198,4.86599,-14.141,0.0013414,-0.00296286,-0.00465946,-0.00261362,0.000913355,0.000916096,0.00209178,0.00306231
4,150.946,-27.9977,173.514,0.0979932,-0.0565791,-0.077364,0.00051584,0.000751814,0.00171401,0.00322477,150.808,-30.2185,93.5155,0.0511345,-0.0351534,-0.076013,0.000387755,0.000588104,0.00138518,0.00229052,152.073,-27.8974,13.6178,0.0027915,-0.0200938,-0.0771884,0.000326363,0.000542648,0.00124611,0.00188772,151.487,-29.5764,-67.238,-0.0497312,-0.00702442,-0.0865504,0.000492501,0.000901645,0.00200397,0.00269096,4.86599,-14.141,0.0013414,-0.000863574,4.35521e-05,0.00135303,0.000909433,0.000913158,0.00208652,0.0030541
5,150.946,-27.9977,173.514,0.27949,-0.0458855,-0.222514,0.00051806,0.000758107,0.00172678,0.00325082,150.808,-30.2185,93.5155,0.148228,-0.0368065,-0.222058,0.000397796,0.000603686,0.00142162,0.00234997,152.073,-27.8974,13.6178,0.0146506,-0.0359592,-0.226776,0.000318423,0.000534394,0.00122623,0.00184728,151.487,-29.5764,-67.238,-0.123595,-0.0378836,-0.241554,0.000482602,0.000887694,0.00197303,0.00264855,4.86599,-14.141,0.0013414,-0.00170351,-0.00109133,0.00318981,0.000861756,0.000902644,0.00206367,0.00301624
6,150.946,-27.9977,173.514,0.169197,-0.0435273,-0.115482,0.000537133,0.000782807,0.00178332,0.00335922,150.808,-30.2185,93.5155,0.0894688,-0.0327962,-0.118937,0.000406524,0.00061743,0.00145406,0.00240134,152.073,-27.8974,13.6178,0.008575,-0.0278203,-0.122212,0.000315155,0.000526224,0.00120742,0.0018271,151.487,-29.5764,-67.238,-0.077303,-0.0254941,-0.136872,0.000473749,0.000870017,0.00193264,0.00259339,4.86599,-14.141,0.0013414,-0.000661392,0.00393503,0.00962963,0.000893331,0.000912558,0.00208451,0.00305018
7,150.946,-27.9977,173.514,0.213394,-0.0746345,-0.156804,0.000509508,0.00074662,0.00169967,0.00319412,150.808,-30.2185,93.5155,0.113876,-0.0491593,-0.158008,0.000405372,0.000615734,0.0014494,0.00239228,152.073,-27.8974,13.6178,0.0118877,-0.0386708,-0.1689,0.000319016,0.000531363,0.00121967,0.00184935,151.487,-29.5764,-67.238,-0.0942702,-0.0275929,-0.189076,0.000468632,0.000859613,0.0019117,0.00256393,4.86599,-14.141,0.0013414,-0.00207518,-0.000893629,0.00112501,0.000895306,0.000909479,0.00207784,0.00304204
8,150.946,-27.9977,173.514,0.0200166,-0.0534227,0.0195758,0.000523855,0.000770629,0.00175554,0.00329193,150.808,-30.2185,93.5155,0.0129517,-0.0262151,0.0121156,0.000403405,0.000613035,0.00144298,0.00238092,152.073,-27.8974,13.6178,0.0022875,-0.00800078,0.00711231,0.000311039,0.000521913,0.0011972,0.0018114,151.487,-29.5764,-67.238,-0.00964923,0.0104351,-0.0149774,0.000479238,0.000877523,0.00195227,0.0026187,4.86599,-14.141,0.0013414,-6.35524e-05,0.00368123,0.00381398,0.000895626,0.000896308,0.00204687,0.00299935
9,150.946,-27.9977,173.514,0.190866,0.0425849,-0.113053,0.00051503,0.000750971,0.00171051,0.00321791,150.808,-30.2185,93.5155,0.105984,0.0228256,-0.120771,0.000406188,0.000616859,0.00145185,0.0023969,152.073,-27.8974,13.6178,0.0152913,-0.00685441,-0.127733,0.000300089,0.000504017,0.00115619,0.00174517,151.487,-29.5764,-67.238,-0.0754061,-0.0371881,-0.150741,0.000473214,0.000867834,0.00192989,0.00258816,4.86599,-14.141,0.0013414,-0.00155447,-0.00215592,0.00195497,0.000890161,0.000905678,0.00206947,0.00302945
